年份,聚类标签0数量,聚类标签1数量,聚类标签2数量,聚类标签3数量
200301,48,41,0,97
200401,71,72,1,42
200501,81,48,0,57
200601,11,84,0,91
200701,60,71,1,54
200801,81,37,0,68
200901,143,24,2,17
201001,3,107,0,76
201101,180,0,6,0
201201,95,15,64,12
201301,35,60,1,90
201401,28,64,1,93
201501,10,79,0,97
201601,28,46,0,112
201701,0,117,0,69
201801,33,50,0,103
201901,0,98,0,88
202001,0,142,0,44
