年份,聚类标签0数量,聚类标签1数量,聚类标签2数量
200312,90,71,25
200412,37,101,48
200512,116,61,9
200612,56,47,83
200712,9,70,107
200812,76,105,5
200912,75,99,12
201012,74,101,11
201112,137,40,9
201212,89,46,51
201312,162,24,0
201412,144,29,13
201512,50,29,107
201612,0,25,161
201712,75,31,80
201812,26,3,157
201912,22,10,154
202012,80,2,104
