年份,聚类标签0数量,聚类标签1数量,聚类标签2数量
200304,28,143,15
200404,61,97,28
200504,65,77,44
200604,45,106,35
200704,141,15,30
200804,65,48,73
200904,129,43,14
201004,80,7,99
201104,102,66,18
201204,63,116,7
201304,120,38,28
201404,59,92,35
201504,48,103,35
201604,35,105,46
201704,85,94,7
201804,46,113,27
201904,29,149,8
202004,162,23,1
