年份,聚类标签0数量,聚类标签1数量,聚类标签2数量,聚类标签3数量
200307,1,61,91,33
200407,22,62,37,65
200507,10,58,57,61
200607,9,55,65,57
200707,8,64,65,49
200807,2,59,33,92
200907,7,71,38,70
201007,28,59,56,43
201107,12,65,36,73
201207,23,72,30,61
201307,16,64,23,83
201407,40,55,66,25
201507,15,75,21,75
201607,5,60,78,43
201707,1,70,54,61
201807,3,74,58,51
201907,32,71,44,39
202007,49,59,56,22
