年份,聚类标签0数量,聚类标签1数量,聚类标签2数量,聚类标签3数量
200308,38,100,44,4
200408,29,87,59,11
200508,21,63,100,2
200608,26,88,69,3
200708,23,64,73,26
200808,61,61,63,1
200908,33,94,35,24
201008,35,84,58,9
201108,29,92,57,8
201208,23,79,80,4
201308,29,70,86,1
201408,37,76,70,3
201508,27,75,76,8
201608,19,82,84,1
201708,21,104,61,0
201808,18,80,84,4
201908,15,101,70,0
202008,32,103,39,12
