年份,聚类标签0数量,聚类标签1数量,聚类标签2数量,聚类标签3数量
200303,56,87,1,42
200403,82,68,0,36
200503,158,23,0,5
200603,97,69,0,20
200703,24,91,5,66
200803,36,57,0,93
200903,55,78,0,53
201003,37,75,0,74
201103,171,12,0,3
201203,71,68,0,47
201303,0,83,0,103
201403,46,108,2,30
201503,4,26,101,55
201603,90,80,0,16
201703,46,102,0,38
201803,0,85,0,101
201903,2,108,0,76
202003,0,69,0,117
