年份,聚类标签0数量,聚类标签1数量,聚类标签2数量
200309,74,73,39
200409,87,52,47
200509,56,98,32
200609,92,47,47
200709,98,60,28
200809,56,92,38
200909,51,105,30
201009,86,84,16
201109,98,55,33
201209,90,55,41
201309,82,60,44
201409,42,102,42
201509,96,59,31
201609,86,78,22
201709,51,111,24
201809,70,79,37
201909,59,97,30
202009,110,58,18
