年份,聚类标签0数量,聚类标签1数量,聚类标签2数量,聚类标签3数量
200306,0,72,80,34
200406,19,70,43,54
200506,32,60,49,45
200606,61,56,27,42
200706,43,52,45,46
200806,68,59,48,11
200906,0,72,78,36
201006,0,67,110,9
201106,0,73,56,57
201206,23,71,58,34
201306,55,55,26,50
201406,1,70,53,62
201506,68,36,13,69
201606,15,66,26,79
201706,39,56,40,51
201806,0,72,63,51
201906,33,60,39,54
202006,47,46,13,80
