575.00,575.00.1,575.00.2,575.00.3,575.00.4,575.00.5,575.00.6,575.00.7,575.00.8,575.00.9,575.00.10,546.00,546.00.1,546.00.2,546.00.3,546.00.4,546.00.5,546.00.6,546.00.7,546.00.8,538.00,531.00,524.00,513.00,508.00,517.00,528.00,535.00,546.00.9,559.00,567.00,572.00,583.00,610.00,630.00,673.00,667.00,670.00,665.00,669.00,683.00,673.00.1,664.00
302.0,302.0,313.0,313.0,313.0,313.0,315.0,315.0,323.0,323.0,331.0,331.0,341.0,341.0,359.0,359.0,415.0,415.0,415.0,415.0,415.0,415.0,430.0,441.0,448.0,449.0,451.0,448.0,453.0,467.0,490.0,501.0,497.0,503.0,511.0,506.0,515.0,522.0,530.0,528.0,536.0,542.0,538.0
289.0,302.0,302.0,313.0,313.0,313.0,313.0,315.0,315.0,323.0,323.0,331.0,331.0,341.0,341.0,359.0,359.0,368.0,368.0,382.0,382.0,406.0,417.0,434.0,435.0,427.0,425.0,443.0,452.0,472.0,485.0,495.0,500.0,497.0,503.0,501.0,500.0,502.0,509.0,513.0,519.0,524.0,531.0
289.0,289.0,302.0,302.0,313.0,313.0,313.0,313.0,315.0,315.0,323.0,323.0,331.0,331.0,341.0,341.0,359.0,359.0,368.0,368.0,382.0,396.0,396.0,404.0,409.0,413.0,423.0,431.0,443.0,456.0,474.0,482.0,488.0,486.0,490.0,491.0,495.0,492.0,497.0,503.0,511.0,520.0,533.0
274.0,289.0,289.0,302.0,302.0,313.0,313.0,313.0,313.0,315.0,315.0,323.0,323.0,331.0,331.0,341.0,341.0,359.0,359.0,368.0,368.0,384.0,385.0,398.0,407.0,412.0,420.0,429.0,435.0,444.0,458.0,463.0,467.0,472.0,478.0,482.0,488.0,491.0,497.0,503.0,507.0,519.0,526.0
274.0,274.0,289.0,289.0,302.0,302.0,313.0,313.0,313.0,313.0,315.0,315.0,323.0,323.0,331.0,331.0,341.0,341.0,359.0,359.0,368.0,379.0,390.0,402.0,407.0,409.0,409.0,414.0,425.0,438.0,439.0,451.0,457.0,465.0,465.0,475.0,489.0,496.0,500.0,502.0,511.0,516.0,525.0
274.0,274.0,274.0,289.0,289.0,302.0,302.0,313.0,313.0,313.0,313.0,315.0,315.0,323.0,323.0,331.0,331.0,341.0,341.0,362.0,375.0,381.0,396.0,399.0,405.0,401.0,401.0,403.0,403.0,414.0,419.0,437.0,446.0,450.0,465.0,482.0,496.0,503.0,508.0,511.0,519.0,527.0,521.0
274.0,274.0,274.0,274.0,289.0,289.0,302.0,302.0,313.0,313.0,313.0,313.0,315.0,315.0,323.0,323.0,331.0,331.0,340.0,361.0,372.0,385.0,395.0,398.0,398.0,393.0,395.0,388.0,382.0,401.0,411.0,422.0,438.0,446.0,451.0,477.0,493.0,503.0,511.0,516.0,522.0,522.0,520.0
274.0,274.0,274.0,274.0,274.0,289.0,289.0,302.0,302.0,313.0,313.0,313.0,313.0,315.0,315.0,323.0,323.0,332.0,344.0,354.0,369.0,378.0,388.0,394.0,395.0,387.0,371.0,371.0,375.0,376.0,399.0,417.0,436.0,438.0,451.0,475.0,481.0,494.0,507.0,517.0,523.0,520.0,517.0
274.0,274.0,274.0,274.0,274.0,274.0,289.0,289.0,302.0,302.0,313.0,313.0,313.0,313.0,315.0,315.0,325.0,338.0,346.0,348.0,361.0,369.0,366.0,373.0,381.0,375.0,368.0,362.0,362.0,375.0,391.0,412.0,430.0,431.0,444.0,474.0,482.0,494.0,503.0,512.0,517.0,520.0,519.0
258.0,274.0,274.0,274.0,274.0,274.0,274.0,289.0,289.0,302.0,302.0,313.0,313.0,313.0,313.0,329.0,331.0,336.0,340.0,335.0,347.0,364.0,358.0,364.0,367.0,372.0,368.0,361.0,355.0,363.0,382.0,393.0,412.0,427.0,458.0,471.0,487.0,497.0,504.0,518.0,521.0,520.0,521.0
