362.00,373.00,389.00,406.00,433.00,448.00,454.00,463.00,481.00,484.00,489.00,492.00,488.00,488.00.1,488.00.2,481.00.1,482.00,492.00.1,493.00,492.00.2,499.00,506.00,507.00,508.00,507.00.1,507.00.2,507.00.3,510.00,511.00,509.00,515.00,524.00,544.00,549.00,560.00,576.00,584.00,592.00
,366.0,383.0,386.0,402.0,421.0,430.0,438.0,481.0,484.0,495.0,499.0,499.0,492.0,488.0,488.0,490.0,496.0,496.0,486.0,487.0,492.0,499.0,502.0,503.0,503.0,495.0,495.0,499.0,502.0,503.0,512.0,530.0,536.0,544.0,567.0,576.0,590.0
,,361.0,369.0,385.0,399.0,430.0,438.0,453.0,470.0,486.0,491.0,493.0,491.0,486.0,483.0,485.0,497.0,497.0,487.0,483.0,478.0,478.0,483.0,491.0,492.0,488.0,482.0,478.0,483.0,493.0,504.0,514.0,520.0,533.0,550.0,564.0,572.0
,,338.0,340.0,385.0,399.0,410.0,416.0,433.0,444.0,469.0,467.0,473.0,474.0,476.0,483.0,487.0,492.0,488.0,486.0,479.0,472.0,460.0,464.0,472.0,474.0,475.0,461.0,460.0,465.0,487.0,500.0,504.0,511.0,511.0,520.0,539.0,550.0
,,,340.0,339.0,351.0,379.0,392.0,410.0,436.0,439.0,454.0,451.0,458.0,461.0,470.0,479.0,482.0,479.0,480.0,474.0,463.0,457.0,455.0,450.0,453.0,455.0,449.0,447.0,456.0,467.0,487.0,493.0,498.0,505.0,513.0,512.0,521.0
,,,,319.0,315.0,357.0,378.0,398.0,407.0,435.0,430.0,435.0,445.0,455.0,453.0,459.0,463.0,466.0,473.0,462.0,454.0,444.0,439.0,445.0,442.0,437.0,431.0,441.0,449.0,461.0,472.0,482.0,494.0,496.0,500.0,495.0,509.0
,,,,,320.0,322.0,352.0,375.0,395.0,411.0,419.0,421.0,424.0,433.0,437.0,434.0,444.0,452.0,451.0,448.0,443.0,434.0,427.0,426.0,421.0,423.0,422.0,429.0,442.0,452.0,463.0,471.0,486.0,493.0,493.0,488.0,490.0
,,,,,,316.0,338.0,360.0,377.0,393.0,412.0,409.0,412.0,416.0,424.0,425.0,428.0,429.0,443.0,441.0,432.0,417.0,408.0,415.0,412.0,413.0,412.0,420.0,429.0,449.0,451.0,462.0,471.0,478.0,478.0,476.0,479.0
,,,,,,,332.0,353.0,357.0,383.0,390.0,393.0,386.0,394.0,412.0,417.0,412.0,413.0,426.0,425.0,415.0,401.0,401.0,399.0,402.0,404.0,402.0,409.0,427.0,440.0,442.0,454.0,460.0,463.0,462.0,467.0,473.0
,,,,,,,,338.0,347.0,361.0,365.0,368.0,369.0,373.0,394.0,389.0,397.0,396.0,405.0,398.0,399.0,397.0,395.0,396.0,397.0,399.0,404.0,401.0,415.0,434.0,438.0,445.0,451.0,454.0,457.0,461.0,468.0
