-999.00,-999.00.1,-999.00.2,-999.00.3,-999.00.4,-999.00.5,-999.00.6,-999.00.7,-999.00.8,-999.00.9,-999.00.10,-999.00.11,-999.00.12,-999.00.13,-999.00.14,-999.00.15,-999.00.16,-999.00.17,-999.00.18,-999.00.19,-999.00.20,-999.00.21,-999.00.22,-999.00.23,-999.00.24,-999.00.25,-999.00.26,-999.00.27,-999.00.28,-999.00.29,-999.00.30,-999.00.31,-999.00.32,-999.00.33,-999.00.34,-999.00.35,-999.00.36,-999.00.37,-999.00.38,1290.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290.0,1290.0,1290.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290.0,1290.0,1290.0,1290.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1251.0,1262.0,1283.0,1290.0,1290.0,1290.0,,
,,,,,,,,,,,,,,,1159.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1244.0,1244.0,1244.0,1244.0,,,,,1244.0,1244.0,1251.0,1262.0,1283.0,1290.0,1290.0,,,
,,,,,,,,,,,,1159.0,1159.0,1159.0,1159.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1251.0,1262.0,1283.0,1290.0,,,,
,,,,,,,,,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1251.0,1262.0,1283.0,1290.0,,,,
,,,,,1069.0,1069.0,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1251.0,1262.0,1283.0,,,,,
,,1041.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1251.0,,,,,,,
,,1041.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1244.0,1244.0,1244.0,1244.0,1244.0,,,,,,,,,,,,
,,1041.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1244.0,,,,,,,,,,,,,,,,
,,,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1182.0,1182.0,1182.0,1182.0,,,,,,,,,,,,,,,,,,,
,,,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1182.0,1182.0,1182.0,1182.0,,,,,,,,,,,,,,,,,,,
,,,,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1182.0,1182.0,1182.0,1182.0,,,,,,,,,,,,,,,,,,,
,,,,,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1182.0,1182.0,1182.0,1182.0,,,,,,,,,,,,,,,,,,,
,,,,,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1182.0,1182.0,1182.0,,,,,,,,,,,,,,,,,,,,
,,,,,,1069.0,1069.0,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1182.0,1182.0,1182.0,,,,,,,,,,,,,,,,,,,,
,,,,,,1069.0,1069.0,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1182.0,1182.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,1069.0,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1182.0,1182.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1182.0,,,,,,,,,,,,,,,,,,,,,
,,,,,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1182.0,,,,,,,,,,,,,,,,,,,,,
,,1041.0,1041.0,1041.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1182.0,1182.0,1182.0,1182.0,1182.0,,,,,,,,,,,,,,,,,
,1041.0,1041.0,1041.0,1041.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1244.0,,,,,,,,,,,,,,
,1041.0,1041.0,1041.0,1041.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1152.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1244.0,,,,,,,,,,,,,,
,1041.0,1041.0,1041.0,1041.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1152.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1244.0,1244.0,,,,,,,,,,,,,
,1041.0,1041.0,1041.0,1041.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1152.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1185.0,1244.0,,,,,,,,,,,,,
,1041.0,1041.0,1041.0,1041.0,1041.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1152.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1185.0,1244.0,1244.0,,,,,,,,,,,,
,,1041.0,1041.0,1041.0,1041.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1152.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1185.0,1244.0,1244.0,,,,,,,,,,,,
,,1041.0,1041.0,1041.0,1041.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1084.0,1159.0,1159.0,1159.0,1159.0,1159.0,1152.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1185.0,1244.0,,,,,,,,,,,,,
,,1041.0,1041.0,1041.0,1041.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1084.0,1159.0,1159.0,1159.0,1159.0,1159.0,1152.0,1151.0,1182.0,1182.0,1182.0,1182.0,1182.0,1185.0,1244.0,,,,,,,,,,,,,
,,1041.0,1041.0,1041.0,1041.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1084.0,1159.0,1159.0,1159.0,1159.0,1159.0,1152.0,1151.0,1182.0,1182.0,1182.0,1182.0,1182.0,1185.0,,,,,,,,,,,,,,
,,1041.0,1041.0,1041.0,1041.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1084.0,1159.0,1159.0,1159.0,1159.0,1159.0,1152.0,1151.0,1182.0,1182.0,1182.0,1182.0,1182.0,1185.0,,,,,,,,,,,,,,
,,,1041.0,1041.0,1041.0,1039.0,1069.0,1069.0,1069.0,1069.0,1069.0,1084.0,1159.0,1159.0,1159.0,1159.0,1159.0,1152.0,1151.0,1182.0,1182.0,1182.0,1182.0,1182.0,,,,,,,,,,,,,,,
,,,1041.0,1041.0,1041.0,1039.0,1069.0,1069.0,1069.0,1069.0,1069.0,1084.0,1102.0,1159.0,1159.0,1159.0,1159.0,1152.0,1151.0,1182.0,1182.0,1182.0,1182.0,1182.0,,,,,,,,,,,,,,,
,,,1041.0,1041.0,1041.0,1039.0,1069.0,1069.0,1069.0,1069.0,1069.0,1084.0,1102.0,1159.0,1159.0,1159.0,1159.0,1152.0,1151.0,1160.0,1182.0,1182.0,1182.0,,,,,,,,,,,,,,,,
,,,1041.0,1041.0,1041.0,1039.0,1069.0,1069.0,1069.0,1069.0,1069.0,1084.0,1102.0,1159.0,1159.0,1159.0,1159.0,1152.0,1151.0,1160.0,1182.0,1182.0,,,,,,,,,,,,,,,,,
,,,1041.0,1041.0,1041.0,1039.0,1036.0,1069.0,1069.0,1069.0,1069.0,1084.0,1102.0,1159.0,1159.0,1159.0,1159.0,1152.0,1151.0,1160.0,1182.0,1182.0,,,,,,,,,,,,,,,,,
,,1041.0,1041.0,1041.0,1041.0,1039.0,1036.0,1069.0,1069.0,1069.0,1069.0,1084.0,1102.0,1133.0,1159.0,1159.0,1159.0,1152.0,1151.0,1160.0,1172.0,,,,,,,,,,,,,,,,,,
,976.0,1041.0,1041.0,1041.0,1041.0,1039.0,1036.0,1069.0,1069.0,1069.0,1069.0,1084.0,1102.0,1133.0,1159.0,1159.0,1159.0,1152.0,1151.0,1160.0,,,,,,,,,,,,,,,,,,,
963.0,976.0,983.0,1041.0,1041.0,1041.0,1039.0,1036.0,1053.0,1069.0,1069.0,1069.0,1084.0,1102.0,1133.0,1159.0,1159.0,1159.0,1152.0,1151.0,,,,,,,,,,,,,,,,,,,,
