1360.00,1329.00,1329.00.1,1329.00.2,1329.00.3,1329.00.4,1329.00.5,1329.00.6,1342.00,1352.00,1357.00,1355.00,1339.00,1331.00,1318.00,1312.00,1287.00,1275.00,1263.00,1251.00,1246.00,1243.00,1245.00,1251.00.1,1251.00.2,1242.00,1233.00,1228.00,1227.00,1225.00
1329.0,1329.0,1329.0,1329.0,1329.0,1329.0,1329.0,1329.0,1342.0,1352.0,1357.0,1355.0,1339.0,1331.0,1318.0,1312.0,1287.0,1275.0,1263.0,1251.0,1246.0,1243.0,1245.0,1251.0,1251.0,1242.0,1233.0,1228.0,1227.0,1225.0
,1329.0,1329.0,1329.0,1329.0,1329.0,1329.0,1329.0,1342.0,1352.0,1357.0,1355.0,1339.0,1331.0,1318.0,1303.0,1287.0,1275.0,1263.0,1251.0,1246.0,1243.0,1245.0,1251.0,1251.0,1242.0,1233.0,1228.0,1227.0,1225.0
,,1329.0,1329.0,1329.0,1329.0,1329.0,1329.0,1342.0,1352.0,1357.0,1355.0,1339.0,1331.0,1318.0,1303.0,1287.0,1275.0,1263.0,1251.0,1246.0,1243.0,1245.0,1251.0,1251.0,1242.0,1233.0,1228.0,1227.0,1225.0
,,1329.0,1329.0,1329.0,1329.0,1329.0,1329.0,1342.0,1352.0,1357.0,1355.0,1339.0,1331.0,1318.0,1303.0,1287.0,1275.0,1263.0,1251.0,1246.0,1243.0,1245.0,1251.0,1251.0,1242.0,1233.0,1228.0,1227.0,1225.0
,,,1329.0,1329.0,1329.0,1329.0,1329.0,1342.0,1352.0,1357.0,1355.0,1339.0,1331.0,1318.0,1303.0,1287.0,1275.0,1263.0,1251.0,1246.0,1243.0,1245.0,1251.0,1251.0,1242.0,1233.0,1228.0,1227.0,1223.0
,,,1329.0,1329.0,1329.0,1329.0,1329.0,1342.0,1352.0,1357.0,1355.0,1339.0,1331.0,1312.0,1303.0,1287.0,1275.0,1263.0,1251.0,1246.0,1243.0,1245.0,1251.0,1251.0,1242.0,1233.0,1228.0,1227.0,1223.0
,,,,1329.0,1329.0,1329.0,1329.0,1342.0,1352.0,1357.0,1355.0,1339.0,1331.0,1312.0,1303.0,1287.0,1275.0,1263.0,1251.0,1246.0,1243.0,1245.0,1251.0,1251.0,1242.0,1233.0,1228.0,1227.0,1223.0
,,,,,1329.0,1329.0,1329.0,1342.0,1352.0,1357.0,1355.0,1339.0,1331.0,1312.0,1303.0,1287.0,1275.0,1263.0,1251.0,1246.0,1243.0,1245.0,1251.0,1251.0,1242.0,1233.0,1228.0,1227.0,1223.0
,,,,,1329.0,1329.0,1329.0,1342.0,1352.0,1357.0,1355.0,1339.0,1331.0,1312.0,1303.0,1287.0,1275.0,1263.0,1251.0,1246.0,1243.0,1245.0,1251.0,1251.0,1242.0,1233.0,1228.0,1225.0,1223.0
,,,,,,1329.0,1329.0,1342.0,1352.0,1357.0,1355.0,1339.0,1331.0,1312.0,1303.0,1287.0,1275.0,1263.0,1251.0,1246.0,1243.0,1245.0,1251.0,1251.0,1242.0,1233.0,1228.0,1225.0,1223.0
