1086.00,1052.00,1052.00.1,1052.00.2,1052.00.3,1052.00.4,1052.00.5,1058.00,1058.00.1,1069.00,1069.00.1,1069.00.2,1069.00.3,1069.00.4,1069.00.5,1069.00.6,1069.00.7,1069.00.8,1100.00,1121.00,1121.00.1,1121.00.2,1121.00.3,1121.00.4,1121.00.5,1121.00.6,1121.00.7,1121.00.8,1121.00.9,1109.00,1109.00.1,1109.00.2,1109.00.3,1109.00.4,1109.00.5,1109.00.6,1109.00.7,1100.00.1,1100.00.2,1100.00.3,1100.00.4,1100.00.5,1100.00.6
1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1100.0,1100.0,1100.0,1100.0
1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1100.0,1100.0,1100.0
1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1100.0,1100.0
1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0
1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0
1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,1109.0
1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0
1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0
1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0
1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0
1113.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0
1124.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0
1124.0,1113.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0
1124.0,1124.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0
1124.0,1124.0,1124.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0
1087.0,1124.0,1124.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0
1087.0,1124.0,1124.0,1124.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0
1087.0,1087.0,1124.0,1124.0,1113.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0
1087.0,1087.0,1087.0,1124.0,1124.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0
1087.0,1087.0,1087.0,1124.0,1124.0,1113.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0
1087.0,1087.0,1087.0,1087.0,1124.0,1124.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0
1087.0,1087.0,1087.0,1087.0,1124.0,1124.0,1113.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0
1087.0,1087.0,1087.0,1087.0,1087.0,1124.0,1124.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0
1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1124.0,1113.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0
1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1124.0,1124.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0
1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1124.0,1113.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0
