-999.00,-999.00.1,-999.00.2,-999.00.3,-999.00.4,-999.00.5,-999.00.6,-999.00.7,-999.00.8,-999.00.9,-999.00.10,-999.00.11,-999.00.12,-999.00.13,-999.00.14,-999.00.15,-999.00.16,-999.00.17,-999.00.18,-999.00.19,-999.00.20,-999.00.21,-999.00.22,-999.00.23,-999.00.24,-999.00.25,-999.00.26,-999.00.27,-999.00.28,-999.00.29,-999.00.30,-999.00.31,-999.00.32,-999.00.33,-999.00.34,-999.00.35,-999.00.36,-999.00.37,-999.00.38,-999.00.39,-999.00.40,-999.00.41,-999.00.42,-999.00.43,-999.00.44,-999.00.45,705.00,691.00,692.00,694.00,-999.00.46,-999.00.47,-999.00.48,-999.00.49,-999.00.50
,,,,,,,,,,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,596.0,596.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,706.0,706.0,706.0,706.0,710.0,719.0,738.0,746.0,750.0,758.0,772.0,797.0,807.0,823.0,841.0,872.0,887.0,889.0,888.0,885.0,888.0,890.0,890.0
,,,,,,,,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,596.0,596.0,596.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,703.0,703.0,712.0,714.0,732.0,739.0,745.0,760.0,775.0,790.0,808.0,821.0,843.0,890.0,887.0,889.0,904.0,909.0,915.0,919.0,907.0
,,,,,,,514.0,514.0,514.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,596.0,596.0,596.0,596.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,698.0,695.0,703.0,710.0,712.0,722.0,748.0,762.0,782.0,814.0,822.0,843.0,890.0,894.0,900.0,908.0,919.0,925.0,942.0,945.0
,,,,,,,514.0,514.0,514.0,514.0,514.0,514.0,514.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,596.0,596.0,596.0,596.0,596.0,652.0,652.0,652.0,652.0,658.0,665.0,671.0,683.0,695.0,710.0,726.0,749.0,771.0,814.0,822.0,876.0,889.0,902.0,905.0,917.0,921.0,936.0,938.0,942.0
,,,,,,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,596.0,596.0,596.0,596.0,596.0,622.0,622.0,632.0,639.0,661.0,673.0,680.0,697.0,717.0,749.0,771.0,795.0,807.0,867.0,882.0,896.0,902.0,908.0,915.0,934.0,935.0,943.0
,,,,,506.0,506.0,506.0,506.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,596.0,596.0,596.0,596.0,606.0,617.0,627.0,636.0,658.0,675.0,697.0,717.0,736.0,769.0,792.0,814.0,854.0,871.0,881.0,883.0,903.0,909.0,909.0,928.0,937.0
,,,,,506.0,506.0,506.0,506.0,506.0,506.0,506.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,559.0,559.0,568.0,604.0,615.0,634.0,658.0,675.0,693.0,711.0,742.0,764.0,793.0,805.0,839.0,858.0,864.0,873.0,882.0,895.0,906.0,909.0,924.0
,,,,592.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,550.0,558.0,575.0,615.0,634.0,650.0,672.0,699.0,717.0,741.0,754.0,775.0,793.0,830.0,841.0,856.0,868.0,869.0,881.0,898.0,910.0,917.0
,,,,592.0,592.0,592.0,592.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,538.0,538.0,538.0,538.0,539.0,558.0,575.0,612.0,638.0,651.0,674.0,699.0,732.0,745.0,753.0,775.0,794.0,813.0,830.0,843.0,852.0,859.0,870.0,884.0,901.0,896.0
,,,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,522.0,538.0,539.0,558.0,580.0,607.0,639.0,654.0,680.0,699.0,735.0,738.0,752.0,759.0,777.0,792.0,809.0,816.0,828.0,841.0,852.0,869.0,870.0,877.0
,,,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,522.0,536.0,560.0,583.0,608.0,628.0,641.0,670.0,694.0,718.0,729.0,732.0,739.0,747.0,765.0,779.0,792.0,803.0,811.0,818.0,832.0,856.0,857.0
,,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,512.0,514.0,514.0,514.0,525.0,543.0,563.0,573.0,586.0,610.0,622.0,649.0,663.0,701.0,715.0,731.0,726.0,725.0,739.0,755.0,763.0,771.0,801.0,800.0,814.0,834.0,837.0
,,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,512.0,512.0,531.0,545.0,551.0,564.0,575.0,588.0,604.0,628.0,664.0,662.0,692.0,696.0,712.0,707.0,722.0,737.0,741.0,750.0,762.0,786.0,807.0,812.0,818.0
,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,513.0,524.0,527.0,546.0,552.0,561.0,572.0,582.0,607.0,626.0,661.0,661.0,681.0,692.0,697.0,697.0,702.0,730.0,740.0,743.0,763.0,790.0,801.0,809.0
,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,506.0,506.0,506.0,506.0,522.0,522.0,527.0,547.0,555.0,558.0,573.0,582.0,596.0,617.0,634.0,654.0,662.0,687.0,692.0,692.0,693.0,707.0,734.0,742.0,759.0,777.0,787.0,798.0
592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,527.0,527.0,526.0,540.0,543.0,555.0,556.0,565.0,575.0,589.0,596.0,613.0,627.0,642.0,664.0,685.0,681.0,687.0,694.0,709.0,736.0,747.0,768.0,782.0,785.0,800.0
592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,545.0,543.0,548.0,576.0,576.0,571.0,572.0,592.0,599.0,609.0,623.0,636.0,646.0,661.0,680.0,682.0,689.0,707.0,732.0,743.0,765.0,778.0,792.0,798.0,817.0
