1083.00,1087.00,1087.00.1,1087.00.2,1087.00.3,1087.00.4,1087.00.5,1087.00.6,1124.00,1113.00,1113.00.1,1113.00.2,1086.00,1086.00.1,1086.00.2,1086.00.3,1086.00.4,1086.00.5,1086.00.6,1086.00.7,1086.00.8,1052.00,1052.00.1,1052.00.2,1052.00.3,1052.00.4,1052.00.5,1052.00.6,1052.00.7,1052.00.8,1052.00.9,1052.00.10,1052.00.11,1052.00.12,1052.00.13,1052.00.14,1052.00.15,1058.00,1058.00.1,1069.00,1069.00.1,1069.00.2,1069.00.3,-999.00,-999.00.1,-999.00.2,-999.00.3,-999.00.4
1083.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1124.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,,,,,
1083.0,1083.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1113.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,,,,
1082.0,1083.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1124.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,1069.0,1069.0,,,
1082.0,1082.0,1083.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1124.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,,,
1082.0,1082.0,1083.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,,
1082.0,1082.0,1082.0,1083.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1124.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,1069.0,
1082.0,1082.0,1082.0,1082.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1113.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1058.0,1058.0,
1082.0,1082.0,1082.0,1082.0,1083.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1124.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,,,,,,,1052.0,1058.0,1058.0
1082.0,1082.0,1082.0,1082.0,1082.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1113.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,,,,,,,,,,,
1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,,,,,,,,,,,,,
1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1113.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,1052.0,1052.0,1052.0,,,,,,,,,,,,,,,
1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1052.0,,,,,,,,,,,,,,,,,
1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1083.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,,,,,,,,,,,,,,,,,,,
1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,1086.0,,,,,,,,,,,,,,,,,,,,,
1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,1086.0,,,,,,,,,,,,,,,,,,,,,,,
1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1113.0,1113.0,1086.0,1086.0,1086.0,1086.0,,,,,,,,,,,,,,,,,,,,,,,,
1139.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1113.0,1113.0,1086.0,1086.0,1086.0,,,,,,,,,,,,,,,,,,,,,,,,
1139.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1113.0,1086.0,1086.0,1086.0,,,,,,,,,,,,,,,,,,,,,,,,
1139.0,1139.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1113.0,1113.0,1086.0,,,,,,,,,,,,,,,,,,,,,,,,,
1139.0,1139.0,1139.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1113.0,1086.0,,,,,,,,,,,,,,,,,,,,,,,,,
1139.0,1139.0,1139.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1113.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1139.0,1139.0,1139.0,1139.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1139.0,1139.0,1139.0,1139.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139.0,1139.0,1139.0,1139.0,1139.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1082.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
