年份,月份聚类标签
200302,1
200402,2
200502,0
200602,2
200702,1
200802,0
200902,1
201002,1
201102,0
201202,0
201302,1
201402,0
201502,2
201602,0
201702,2
201802,2
201902,1
202002,2
