年份,月份聚类标签
200308,1
200408,1
200508,0
200608,0
200708,0
200808,2
200908,1
201008,1
201108,1
201208,0
201308,0
201408,0
201508,0
201608,0
201708,1
201808,0
201908,0
202008,1
