年份,月份聚类标签
200310,0
200410,0
200510,2
200610,2
200710,2
200810,2
200910,2
201010,0
201110,0
201210,0
201310,0
201410,2
201510,1
201610,1
201710,1
201810,0
201910,1
202010,1
