年份,月份聚类标签
200309,2
200409,0
200509,1
200609,0
200709,0
200809,1
200909,1
201009,2
201109,0
201209,0
201309,0
201409,1
201509,0
201609,2
201709,1
201809,2
201909,1
202009,0
