年份,月份聚类标签
200303,4
200403,0
200503,2
200603,0
200703,4
200803,3
200903,4
201003,4
201103,2
201203,0
201303,3
201403,4
201503,1
201603,0
201703,4
201803,3
201903,3
202003,3
