年份,月份聚类标签
200306,0
200406,2
200506,0
200606,1
200706,0
200806,0
200906,0
201006,0
201106,2
201206,0
201306,1
201406,2
201506,1
201606,2
201706,0
201806,2
201906,0
202006,1
