年份,月份聚类标签
200311,2
200411,2
200511,1
200611,1
200711,2
200811,2
200911,0
201011,2
201111,1
201211,0
201311,0
201411,1
201511,1
201611,0
201711,0
201811,1
201911,1
202011,1
