年份,月份聚类标签
200301,2
200401,2
200501,2
200601,1
200701,2
200801,2
200901,0
201001,1
201101,0
201201,0
201301,1
201401,1
201501,1
201601,1
201701,1
201801,1
201901,1
202001,1
