年份,月份聚类标签
200312,2
200412,2
200512,0
200612,1
200712,1
200812,2
200912,2
201012,2
201112,0
201212,0
201312,0
201412,0
201512,1
201612,1
201712,1
201812,1
201912,1
202012,1
