年份,月份聚类标签
200307,2
200407,0
200507,2
200607,2
200707,2
200807,0
200907,0
201007,1
201107,0
201207,0
201307,0
201407,1
201507,0
201607,2
201707,2
201807,2
201907,1
202007,1
