年份,月份聚类标签
200305,2
200405,1
200505,0
200605,1
200705,2
200805,1
200905,1
201005,1
201105,1
201205,0
201305,0
201405,1
201505,2
201605,2
201705,2
201805,0
201905,0
202005,2
