longitude,latitude,region_id,tmp,ndvi,年份,year,month
112.913735,24.764287,105,4.9,0.6853,200301,2003,1
112.926572,24.764287,106,4.175,0.7046,200301,2003,1
112.939409,24.764287,107,3.7,0.6411,200301,2003,1
112.952246,24.764287,108,4.15,0.7773,200301,2003,1
112.965083,24.764287,109,4.625,0.8091,200301,2003,1
112.97792,24.764287,110,5.4,0.8024,200301,2003,1
112.836713,24.772757,111,7.8,0.6268,200301,2003,1
112.84955,24.772757,112,7.475,0.71849996,200301,2003,1
112.862387,24.772757,113,6.9,0.7752,200301,2003,1
112.875224,24.772757,114,6.324999999999999,0.7679,200301,2003,1
112.888061,24.772757,115,6.175,0.76559997,200301,2003,1
112.900898,24.772757,116,5.749999999999999,0.7607,200301,2003,1
112.913735,24.772757,117,5.15,0.70309997,200301,2003,1
112.926572,24.772757,118,4.574999999999999,0.74549997,200301,2003,1
112.939409,24.772757,119,3.95,0.7351,200301,2003,1
112.952246,24.772757,120,3.95,0.75479996,200301,2003,1
112.965083,24.772757,121,4.775,0.783,200301,2003,1
112.97792,24.772757,122,5.275,0.69229996,200301,2003,1
112.836713,24.781227,123,7.775,0.53029996,200301,2003,1
112.84955,24.781227,124,7.3,0.70269996,200301,2003,1
112.862387,24.781227,125,6.550000000000001,0.7855,200301,2003,1
112.875224,24.781227,126,5.699999999999999,0.77669996,200301,2003,1
112.888061,24.781227,127,5.55,0.7926,200301,2003,1
112.900898,24.781227,128,5.45,0.74149996,200301,2003,1
112.913735,24.781227,129,4.949999999999999,0.74149996,200301,2003,1
112.926572,24.781227,130,4.5,0.7434,200301,2003,1
112.939409,24.781227,131,3.975000000000001,0.7466,200301,2003,1
112.952246,24.781227,132,3.65,0.74829996,200301,2003,1
112.965083,24.781227,133,4.425,0.8035,200301,2003,1
112.97792,24.781227,134,5.25,0.71419996,200301,2003,1
112.84955,24.789697,135,7.025,0.67609996,200301,2003,1
112.862387,24.789697,136,6.375,0.7475,200301,2003,1
112.875224,24.789697,137,5.75,0.7866,200301,2003,1
112.888061,24.789697,138,5.4,0.7809,200301,2003,1
112.900898,24.789697,139,5.2,0.733,200301,2003,1
112.913735,24.789697,140,4.574999999999999,0.7144,200301,2003,1
112.926572,24.789697,141,4.0,0.63949996,200301,2003,1
112.939409,24.789697,142,3.6,0.6349,200301,2003,1
112.952246,24.789697,143,3.525,0.7679,200301,2003,1
112.965083,24.789697,144,4.2,0.7994,200301,2003,1
112.97792,24.789697,145,5.075,0.74149996,200301,2003,1
112.84955,24.798167,146,6.85,0.6471,200301,2003,1
112.862387,24.798167,147,6.45,0.65959996,200301,2003,1
112.875224,24.798167,148,6.375,0.7607,200301,2003,1
112.888061,24.798167,149,5.825,0.74399996,200301,2003,1
112.900898,24.798167,150,5.25,0.7481,200301,2003,1
112.913735,24.798167,151,4.675,0.7238,200301,2003,1
112.926572,24.798167,152,4.1000000000000005,0.7301,200301,2003,1
112.939409,24.798167,153,3.575,0.74579996,200301,2003,1
112.952246,24.798167,154,3.325,0.75589997,200301,2003,1
