year_month,region_id,longitude,latitude,ndvi
2011_08,1,112.954156,24.688673,0.8695
2011_08,2,112.965106,24.687923,0.8638
2011_08,3,112.978756,24.687773,0.82269996
2011_08,4,112.861906,24.697823,0.8427
2011_08,5,112.888156,24.697973,0.8637
2011_08,6,112.938256,24.697073,0.87579995
2011_08,7,112.952206,24.696623,0.8786
2011_08,8,112.965106,24.696623,0.8806
2011_08,9,112.978006,24.696623,0.84669995
2011_08,10,112.990756,24.695123,0.833
2011_08,11,113.003506,24.695873,0.7892
2011_08,12,113.015806,24.695573,0.7478
2011_08,13,112.850656,24.702473,0.8134
2011_08,14,112.862356,24.705023,0.8134
2011_08,15,112.875106,24.702923,0.9504
2011_08,16,112.888006,24.705023,0.87909997
2011_08,17,112.900906,24.703073,0.8925
2011_08,18,112.913806,24.702773,0.91249996
2011_08,19,112.926556,24.702923,0.90999997
2011_08,20,112.939306,24.705023,0.88629997
2011_08,21,112.952206,24.705023,0.90629995
2011_08,22,112.965106,24.705023,0.8556
2011_08,23,112.978006,24.705023,0.82339996
2011_08,24,112.990756,24.705023,0.86509997
2011_08,25,113.003506,24.705023,0.8322
2011_08,26,113.014606,24.707873,0.77129996
2011_08,27,112.851406,24.713423,0.83919996
2011_08,28,112.862356,24.713423,0.82839996
2011_08,29,112.875106,24.713423,0.8347
2011_08,30,112.888006,24.713423,0.8616
2011_08,31,112.900906,24.713423,0.8538
2011_08,32,112.913806,24.713423,0.8217
2011_08,33,112.926556,24.713423,0.9234
2011_08,34,112.939306,24.713423,0.9119
2011_08,35,112.952206,24.713423,0.854
2011_08,36,112.965106,24.713423,0.8517
2011_08,37,112.978006,24.713423,0.86149997
2011_08,38,112.990756,24.713423,0.83559996
2011_08,39,113.005306,24.713423,0.76839995
2011_08,40,112.852156,24.724073,0.8095
2011_08,41,112.862356,24.721823,0.8613
2011_08,42,112.875106,24.721823,0.74899995
2011_08,43,112.888006,24.721823,0.87039995
2011_08,44,112.900906,24.721823,0.84669995
2011_08,45,112.913806,24.721823,0.70409995
2011_08,46,112.926556,24.721823,0.70589995
2011_08,47,112.939306,24.721823,0.8567
2011_08,48,112.952206,24.721823,0.8486
2011_08,49,112.965106,24.721823,0.7974
2011_08,50,112.978006,24.721823,0.82549995
2011_08,51,112.990756,24.721823,0.82549995
2011_08,52,113.004856,24.721823,0.824
2011_08,53,112.860856,24.730373,0.81579995
2011_08,54,112.875106,24.730373,0.82339996
2011_08,55,112.888006,24.730373,0.9479
2011_08,56,112.900906,24.730373,0.85859996
2011_08,57,112.913806,24.730373,0.85859996
2011_08,58,112.926556,24.730373,0.7213
2011_08,59,112.939306,24.730373,0.7388
2011_08,60,112.952206,24.730373,0.88229996
2011_08,61,112.965106,24.730373,0.8522
2011_08,62,112.978006,24.730373,0.807
2011_08,63,112.990756,24.730373,0.78959996
2011_08,64,113.004256,24.730373,0.7349
2011_08,65,112.852006,24.736823,0.8147
2011_08,66,112.862356,24.738923,0.88949996
2011_08,67,112.875106,24.738923,0.91099995
2011_08,68,112.888006,24.738923,0.884
2011_08,69,112.900906,24.738923,0.87869996
2011_08,70,112.913806,24.738923,0.68219995
2011_08,71,112.926556,24.738923,0.69449997
2011_08,72,112.939306,24.738923,0.5929
2011_08,73,112.952206,24.738923,0.86539996
2011_08,74,112.965106,24.738923,0.8333
2011_08,75,112.978006,24.738923,0.7281
2011_08,76,112.990756,24.740873,0.802
2011_08,77,113.001856,24.737423,0.72709996
2011_08,78,112.852006,24.747323,0.8339
2011_08,79,112.862356,24.747323,0.77669996
2011_08,80,112.875106,24.747323,0.85709995
2011_08,81,112.888006,24.747323,0.79829997
2011_08,82,112.900906,24.747323,0.3109
2011_08,83,112.913806,24.747323,0.341
2011_08,84,112.926556,24.747323,0.4377
2011_08,85,112.939306,24.747323,0.6192
2011_08,86,112.952206,24.747323,0.76089996
2011_08,87,112.965106,24.747323,0.85649997
2011_08,88,112.979356,24.747323,0.8084
2011_08,89,112.850356,24.755723,0.79639995
2011_08,90,112.862356,24.755723,0.74829996
2011_08,91,112.875106,24.755723,0.7387
2011_08,92,112.888006,24.755723,0.8965
2011_08,93,112.900906,24.755723,0.85359997
2011_08,94,112.913806,24.755723,0.5403
2011_08,95,112.926556,24.755723,0.6872
2011_08,96,112.939306,24.755723,0.6234
2011_08,97,112.952206,24.755723,0.85999995
2011_08,98,112.965106,24.755723,0.85999995
2011_08,99,112.979206,24.755723,0.8179
2011_08,100,112.848406,24.764273,0.7084
2011_08,101,112.862356,24.764273,0.752
2011_08,102,112.875106,24.764273,0.85139996
2011_08,103,112.888006,24.764273,0.85139996
2011_08,104,112.900906,24.764273,0.8402
2011_08,105,112.913806,24.764273,0.8673
2011_08,106,112.926556,24.764273,0.8867
2011_08,107,112.939306,24.764273,0.667
2011_08,108,112.952206,24.764273,0.7172
2011_08,109,112.965106,24.764273,0.8599
2011_08,110,112.979056,24.764273,0.82629997
2011_08,111,112.838506,24.771023,0.74189997
2011_08,112,112.849606,24.772823,0.8174
2011_08,113,112.862356,24.772823,0.83629996
2011_08,114,112.875106,24.772823,0.86899996
2011_08,115,112.888006,24.772823,0.8326
2011_08,116,112.900906,24.772823,0.8127
2011_08,117,112.913806,24.772823,0.6434
2011_08,118,112.926556,24.772823,0.68649995
2011_08,119,112.939306,24.772823,0.796
2011_08,120,112.952206,24.772823,0.6617
2011_08,121,112.965106,24.772823,0.8703
2011_08,122,112.978756,24.772823,0.805
2011_08,123,112.838056,24.784523,0.7414
2011_08,124,112.849606,24.781223,0.7863
2011_08,125,112.862356,24.781223,0.79469997
2011_08,126,112.875106,24.781223,0.8265
2011_08,127,112.888006,24.781223,0.83889997
2011_08,128,112.900906,24.781223,0.7653
2011_08,129,112.913806,24.781223,0.7653
2011_08,130,112.926556,24.781223,0.74219996
2011_08,131,112.939306,24.781223,0.431
2011_08,132,112.952206,24.781223,0.5805
2011_08,133,112.965106,24.781223,0.5261
2011_08,134,112.978606,24.781223,0.7917
2011_08,135,112.847356,24.789623,0.7783
2011_08,136,112.862356,24.789623,0.7585
2011_08,137,112.875106,24.789623,0.8235
2011_08,138,112.888006,24.789623,0.8441
2011_08,139,112.900906,24.789623,0.78349996
2011_08,140,112.913806,24.789623,0.83559996
2011_08,141,112.926556,24.789623,0.8048
2011_08,142,112.939306,24.789623,0.7747
2011_08,143,112.952206,24.789623,0.6611
2011_08,144,112.965106,24.789623,0.89919996
2011_08,145,112.978306,24.789623,0.86149997
2011_08,146,112.847806,24.799523,0.8012
2011_08,147,112.862356,24.799223,0.8473
2011_08,148,112.875106,24.798173,0.86329997
2011_08,149,112.888006,24.798173,0.76449996
2011_08,150,112.900906,24.798173,0.8357
2011_08,151,112.913806,24.798173,0.8262
2011_08,152,112.926556,24.798173,0.86219996
2011_08,153,112.939306,24.798173,0.86219996
2011_08,154,112.952206,24.798173,0.8319
2011_08,155,112.965106,24.798173,0.8358
2011_08,156,112.977856,24.798173,0.8583
2011_08,157,112.874356,24.806723,0.7831
2011_08,158,112.888006,24.806723,0.85539997
2011_08,159,112.900906,24.806723,0.7855
2011_08,160,112.913806,24.806723,0.8179
2011_08,161,112.926556,24.806723,0.2802
2011_08,162,112.939306,24.806723,0.86609995
2011_08,163,112.952206,24.806723,0.8797
2011_08,164,112.965106,24.806723,0.8797
2011_08,165,112.977556,24.809423,0.7004
2011_08,166,112.875256,24.815123,0.8434
2011_08,167,112.888006,24.815123,0.8434
2011_08,168,112.900906,24.815123,0.8138
2011_08,169,112.913806,24.815123,0.8009
2011_08,170,112.926556,24.815123,0.8736
2011_08,171,112.939306,24.815123,0.8533
2011_08,172,112.952206,24.815123,0.8003
2011_08,173,112.966756,24.815123,0.7004
2011_08,174,112.878106,24.826223,0.8531
2011_08,175,112.888006,24.823523,0.85459995
2011_08,176,112.900906,24.823523,0.8538
2011_08,177,112.913806,24.823523,0.86869997
2011_08,178,112.926556,24.824273,0.6834
2011_08,179,112.939306,24.823373,0.72999996
2011_08,180,112.952206,24.823523,0.6382
2011_08,181,112.965706,24.823523,0.6145
2011_08,182,112.886356,24.832073,0.8663
2011_08,183,112.900906,24.834173,0.79639995
2011_08,184,112.915156,24.833723,0.8833
2011_08,185,112.888306,24.840623,0.8609
2011_08,186,112.887856,24.850823,0.8193
