year_month,region_id,longitude,latitude,ndvi
2017_10,1,112.954156,24.688673,0.83529997
2017_10,2,112.965106,24.687923,0.8515
2017_10,3,112.978756,24.687773,0.8157
2017_10,4,112.861906,24.697823,0.8225
2017_10,5,112.888156,24.697973,0.84599996
2017_10,6,112.938256,24.697073,0.88799995
2017_10,7,112.952206,24.696623,0.8797
2017_10,8,112.965106,24.696623,0.85069996
2017_10,9,112.978006,24.696623,0.8283
2017_10,10,112.990756,24.695123,0.8427
2017_10,11,113.003506,24.695873,0.784
2017_10,12,113.015806,24.695573,0.75049996
2017_10,13,112.850656,24.702473,0.8322
2017_10,14,112.862356,24.705023,0.8322
2017_10,15,112.875106,24.702923,0.8208
2017_10,16,112.888006,24.705023,0.8369
2017_10,17,112.900906,24.703073,0.86539996
2017_10,18,112.913806,24.702773,0.8839
2017_10,19,112.926556,24.702923,0.8932
2017_10,20,112.939306,24.705023,0.8856
2017_10,21,112.952206,24.705023,0.8843
2017_10,22,112.965106,24.705023,0.8391
2017_10,23,112.978006,24.705023,0.8188
2017_10,24,112.990756,24.705023,0.8347
2017_10,25,113.003506,24.705023,0.7826
2017_10,26,113.014606,24.707873,0.74869996
2017_10,27,112.851406,24.713423,0.8375
2017_10,28,112.862356,24.713423,0.78709996
2017_10,29,112.875106,24.713423,0.77
2017_10,30,112.888006,24.713423,0.7856
2017_10,31,112.900906,24.713423,0.8437
2017_10,32,112.913806,24.713423,0.82119995
2017_10,33,112.926556,24.713423,0.8896
2017_10,34,112.939306,24.713423,0.88269997
2017_10,35,112.952206,24.713423,0.8293
2017_10,36,112.965106,24.713423,0.81219995
2017_10,37,112.978006,24.713423,0.84
2017_10,38,112.990756,24.713423,0.8527
2017_10,39,113.005306,24.713423,0.7399
2017_10,40,112.852156,24.724073,0.8387
2017_10,41,112.862356,24.721823,0.81439996
2017_10,42,112.875106,24.721823,0.7384
2017_10,43,112.888006,24.721823,0.81439996
2017_10,44,112.900906,24.721823,0.8183
2017_10,45,112.913806,24.721823,0.8339
2017_10,46,112.926556,24.721823,0.884
2017_10,47,112.939306,24.721823,0.8914
2017_10,48,112.952206,24.721823,0.8419
2017_10,49,112.965106,24.721823,0.835
2017_10,50,112.978006,24.721823,0.85139996
2017_10,51,112.990756,24.721823,0.85139996
2017_10,52,113.004856,24.721823,0.8012
2017_10,53,112.860856,24.730373,0.8336
2017_10,54,112.875106,24.730373,0.76629996
2017_10,55,112.888006,24.730373,0.8375
2017_10,56,112.900906,24.730373,0.8429
2017_10,57,112.913806,24.730373,0.8429
2017_10,58,112.926556,24.730373,0.8318
2017_10,59,112.939306,24.730373,0.83809996
2017_10,60,112.952206,24.730373,0.85499996
2017_10,61,112.965106,24.730373,0.8343
2017_10,62,112.978006,24.730373,0.83629996
2017_10,63,112.990756,24.730373,0.84099996
2017_10,64,113.004256,24.730373,0.7813
2017_10,65,112.852006,24.736823,0.816
2017_10,66,112.862356,24.738923,0.8206
2017_10,67,112.875106,24.738923,0.82729995
2017_10,68,112.888006,24.738923,0.8304
2017_10,69,112.900906,24.738923,0.831
2017_10,70,112.913806,24.738923,0.7538
2017_10,71,112.926556,24.738923,0.8272
2017_10,72,112.939306,24.738923,0.8118
2017_10,73,112.952206,24.738923,0.83339995
2017_10,74,112.965106,24.738923,0.8391
2017_10,75,112.978006,24.738923,0.82049996
2017_10,76,112.990756,24.740873,0.821
2017_10,77,113.001856,24.737423,0.70379996
2017_10,78,112.852006,24.747323,0.8534
2017_10,79,112.862356,24.747323,0.8278
2017_10,80,112.875106,24.747323,0.8127
2017_10,81,112.888006,24.747323,0.81509995
2017_10,82,112.900906,24.747323,0.805
2017_10,83,112.913806,24.747323,0.81509995
2017_10,84,112.926556,24.747323,0.8138
2017_10,85,112.939306,24.747323,0.8086
2017_10,86,112.952206,24.747323,0.86249995
2017_10,87,112.965106,24.747323,0.84349996
2017_10,88,112.979356,24.747323,0.8358
2017_10,89,112.850356,24.755723,0.84669995
2017_10,90,112.862356,24.755723,0.8071
2017_10,91,112.875106,24.755723,0.8138
2017_10,92,112.888006,24.755723,0.81409997
2017_10,93,112.900906,24.755723,0.8003
2017_10,94,112.913806,24.755723,0.7784
2017_10,95,112.926556,24.755723,0.7721
2017_10,96,112.939306,24.755723,0.8012
2017_10,97,112.952206,24.755723,0.8326
2017_10,98,112.965106,24.755723,0.8326
2017_10,99,112.979206,24.755723,0.8301
2017_10,100,112.848406,24.764273,0.8046
2017_10,101,112.862356,24.764273,0.792
2017_10,102,112.875106,24.764273,0.81659997
2017_10,103,112.888006,24.764273,0.81659997
2017_10,104,112.900906,24.764273,0.7906
2017_10,105,112.913806,24.764273,0.78709996
2017_10,106,112.926556,24.764273,0.7673
2017_10,107,112.939306,24.764273,0.75
2017_10,108,112.952206,24.764273,0.8362
2017_10,109,112.965106,24.764273,0.854
2017_10,110,112.979056,24.764273,0.853
2017_10,111,112.838506,24.771023,0.7671
2017_10,112,112.849606,24.772823,0.82089996
2017_10,113,112.862356,24.772823,0.815
2017_10,114,112.875106,24.772823,0.8095
2017_10,115,112.888006,24.772823,0.8103
2017_10,116,112.900906,24.772823,0.7981
2017_10,117,112.913806,24.772823,0.78459996
2017_10,118,112.926556,24.772823,0.7775
2017_10,119,112.939306,24.772823,0.784
2017_10,120,112.952206,24.772823,0.84099996
2017_10,121,112.965106,24.772823,0.84679997
2017_10,122,112.978756,24.772823,0.83959997
2017_10,123,112.838056,24.784523,0.72889996
2017_10,124,112.849606,24.781223,0.8142
2017_10,125,112.862356,24.781223,0.83739996
2017_10,126,112.875106,24.781223,0.8179
2017_10,127,112.888006,24.781223,0.8244
2017_10,128,112.900906,24.781223,0.7951
2017_10,129,112.913806,24.781223,0.7951
2017_10,130,112.926556,24.781223,0.8113
2017_10,131,112.939306,24.781223,0.8603
2017_10,132,112.952206,24.781223,0.8333
2017_10,133,112.965106,24.781223,0.84
2017_10,134,112.978606,24.781223,0.8359
2017_10,135,112.847356,24.789623,0.8045
2017_10,136,112.862356,24.789623,0.79789996
2017_10,137,112.875106,24.789623,0.7179
2017_10,138,112.888006,24.789623,0.71419996
