year_month,region_id,longitude,latitude,ndvi
2004_12,1,112.954156,24.688673,0.76409996
2004_12,2,112.965106,24.687923,0.75909996
2004_12,3,112.978756,24.687773,0.67579997
2004_12,4,112.861906,24.697823,0.6886
2004_12,5,112.888156,24.697973,0.7664
2004_12,6,112.938256,24.697073,0.78499997
2004_12,7,112.952206,24.696623,0.7861
2004_12,8,112.965106,24.696623,0.7445
2004_12,9,112.978006,24.696623,0.7008
2004_12,10,112.990756,24.695123,0.71489996
2004_12,11,113.003506,24.695873,0.67109996
2004_12,12,113.015806,24.695573,0.622
2004_12,13,112.850656,24.702473,0.7066
2004_12,14,112.862356,24.705023,0.7066
2004_12,15,112.875106,24.702923,0.73319995
2004_12,16,112.888006,24.705023,0.74869996
2004_12,17,112.900906,24.703073,0.7917
2004_12,18,112.913806,24.702773,0.82299995
2004_12,19,112.926556,24.702923,0.77889997
2004_12,20,112.939306,24.705023,0.7644
2004_12,21,112.952206,24.705023,0.7873
2004_12,22,112.965106,24.705023,0.76379997
2004_12,23,112.978006,24.705023,0.7518
2004_12,24,112.990756,24.705023,0.7633
2004_12,25,113.003506,24.705023,0.648
2004_12,26,113.014606,24.707873,0.6196
2004_12,27,112.851406,24.713423,0.68659997
2004_12,28,112.862356,24.713423,0.6052
2004_12,29,112.875106,24.713423,0.6132
2004_12,30,112.888006,24.713423,0.66279995
2004_12,31,112.900906,24.713423,0.7865
2004_12,32,112.913806,24.713423,0.7694
2004_12,33,112.926556,24.713423,0.7682
2004_12,34,112.939306,24.713423,0.7687
2004_12,35,112.952206,24.713423,0.7662
2004_12,36,112.965106,24.713423,0.7556
2004_12,37,112.978006,24.713423,0.76159996
2004_12,38,112.990756,24.713423,0.751
2004_12,39,113.005306,24.713423,0.6239
2004_12,40,112.852156,24.724073,0.67969996
2004_12,41,112.862356,24.721823,0.6924
2004_12,42,112.875106,24.721823,0.61899996
2004_12,43,112.888006,24.721823,0.6645
2004_12,44,112.900906,24.721823,0.7522
2004_12,45,112.913806,24.721823,0.7671
2004_12,46,112.926556,24.721823,0.7266
2004_12,47,112.939306,24.721823,0.74979997
2004_12,48,112.952206,24.721823,0.76269996
2004_12,49,112.965106,24.721823,0.7582
2004_12,50,112.978006,24.721823,0.74439996
2004_12,51,112.990756,24.721823,0.74439996
2004_12,52,113.004856,24.721823,0.64559996
2004_12,53,112.860856,24.730373,0.69839996
2004_12,54,112.875106,24.730373,0.6457
2004_12,55,112.888006,24.730373,0.7741
2004_12,56,112.900906,24.730373,0.7678
2004_12,57,112.913806,24.730373,0.7678
2004_12,58,112.926556,24.730373,0.7414
2004_12,59,112.939306,24.730373,0.7524
2004_12,60,112.952206,24.730373,0.7561
2004_12,61,112.965106,24.730373,0.74399996
2004_12,62,112.978006,24.730373,0.7283
2004_12,63,112.990756,24.730373,0.71349996
2004_12,64,113.004256,24.730373,0.65059996
2004_12,65,112.852006,24.736823,0.649
2004_12,66,112.862356,24.738923,0.70809996
2004_12,67,112.875106,24.738923,0.7391
2004_12,68,112.888006,24.738923,0.7338
2004_12,69,112.900906,24.738923,0.7184
2004_12,70,112.913806,24.738923,0.6813
2004_12,71,112.926556,24.738923,0.7078
2004_12,72,112.939306,24.738923,0.73139995
2004_12,73,112.952206,24.738923,0.7599
2004_12,74,112.965106,24.738923,0.7572
2004_12,75,112.978006,24.738923,0.6279
2004_12,76,112.990756,24.740873,0.68509996
2004_12,77,113.001856,24.737423,0.534
2004_12,78,112.852006,24.747323,0.705
2004_12,79,112.862356,24.747323,0.7384
2004_12,80,112.875106,24.747323,0.74009997
2004_12,81,112.888006,24.747323,0.7486
2004_12,82,112.900906,24.747323,0.6993
2004_12,83,112.913806,24.747323,0.6929
2004_12,84,112.926556,24.747323,0.6864
2004_12,85,112.939306,24.747323,0.69729996
2004_12,86,112.952206,24.747323,0.7366
2004_12,87,112.965106,24.747323,0.74109995
2004_12,88,112.979356,24.747323,0.7493
2004_12,89,112.850356,24.755723,0.7197
2004_12,90,112.862356,24.755723,0.7079
2004_12,91,112.875106,24.755723,0.72279996
2004_12,92,112.888006,24.755723,0.72959995
2004_12,93,112.900906,24.755723,0.7098
2004_12,94,112.913806,24.755723,0.69339997
2004_12,95,112.926556,24.755723,0.6737
2004_12,96,112.939306,24.755723,0.7137
2004_12,97,112.952206,24.755723,0.76129997
2004_12,98,112.965106,24.755723,0.76129997
2004_12,99,112.979206,24.755723,0.728
2004_12,100,112.848406,24.764273,0.6371
2004_12,101,112.862356,24.764273,0.6899
2004_12,102,112.875106,24.764273,0.73179996
2004_12,103,112.888006,24.764273,0.73179996
2004_12,104,112.900906,24.764273,0.77559996
2004_12,105,112.913806,24.764273,0.7157
2004_12,106,112.926556,24.764273,0.6999
2004_12,107,112.939306,24.764273,0.6505
2004_12,108,112.952206,24.764273,0.7449
2004_12,109,112.965106,24.764273,0.7959
2004_12,110,112.979056,24.764273,0.79389995
2004_12,111,112.838506,24.771023,0.59
2004_12,112,112.849606,24.772823,0.70059997
2004_12,113,112.862356,24.772823,0.74009997
2004_12,114,112.875106,24.772823,0.7323
2004_12,115,112.888006,24.772823,0.7344
2004_12,116,112.900906,24.772823,0.7646
2004_12,117,112.913806,24.772823,0.80399996
2004_12,118,112.926556,24.772823,0.751
2004_12,119,112.939306,24.772823,0.74289995
2004_12,120,112.952206,24.772823,0.733
2004_12,121,112.965106,24.772823,0.7831
2004_12,122,112.978756,24.772823,0.7342
2004_12,123,112.838056,24.784523,0.519
2004_12,124,112.849606,24.781223,0.71129996
2004_12,125,112.862356,24.781223,0.7488
2004_12,126,112.875106,24.781223,0.75079995
2004_12,127,112.888006,24.781223,0.76589996
2004_12,128,112.900906,24.781223,0.7941
2004_12,129,112.913806,24.781223,0.7941
2004_12,130,112.926556,24.781223,0.77849996
2004_12,131,112.939306,24.781223,0.7327
2004_12,132,112.952206,24.781223,0.74869996
2004_12,133,112.965106,24.781223,0.7608
2004_12,134,112.978606,24.781223,0.7399
2004_12,135,112.847356,24.789623,0.6477
2004_12,136,112.862356,24.789623,0.73719996
2004_12,137,112.875106,24.789623,0.73929995
2004_12,138,112.888006,24.789623,0.74149996
2004_12,139,112.900906,24.789623,0.7637
2004_12,140,112.913806,24.789623,0.797
2004_12,141,112.926556,24.789623,0.6145
2004_12,142,112.939306,24.789623,0.6238
2004_12,143,112.952206,24.789623,0.71989995
2004_12,144,112.965106,24.789623,0.7901
2004_12,145,112.978306,24.789623,0.74829996
2004_12,146,112.847806,24.799523,0.6387
2004_12,147,112.862356,24.799223,0.6913
2004_12,148,112.875106,24.798173,0.71459997
2004_12,149,112.888006,24.798173,0.6967
2004_12,150,112.900906,24.798173,0.7654
2004_12,151,112.913806,24.798173,0.78249997
2004_12,152,112.926556,24.798173,0.705
2004_12,153,112.939306,24.798173,0.7518
2004_12,154,112.952206,24.798173,0.71529996
2004_12,155,112.965106,24.798173,0.7924
2004_12,156,112.977856,24.798173,0.78279996
2004_12,157,112.874356,24.806723,0.68509996
2004_12,158,112.888006,24.806723,0.69979995
2004_12,159,112.900906,24.806723,0.7686
2004_12,160,112.913806,24.806723,0.79389995
2004_12,161,112.926556,24.806723,0.79399997
2004_12,162,112.939306,24.806723,0.76479995
2004_12,163,112.952206,24.806723,0.7721
2004_12,164,112.965106,24.806723,0.7721
2004_12,165,112.977556,24.809423,0.77989995
2004_12,166,112.875256,24.815123,0.73719996
2004_12,167,112.888006,24.815123,0.73719996
2004_12,168,112.900906,24.815123,0.7556
2004_12,169,112.913806,24.815123,0.75799996
2004_12,170,112.926556,24.815123,0.7865
2004_12,171,112.939306,24.815123,0.769
2004_12,172,112.952206,24.815123,0.7468
2004_12,173,112.966756,24.815123,0.77989995
2004_12,174,112.878106,24.826223,0.74259996
2004_12,175,112.888006,24.823523,0.76909995
2004_12,176,112.900906,24.823523,0.7678
2004_12,177,112.913806,24.823523,0.79139996
2004_12,178,112.926556,24.824273,0.8064
2004_12,179,112.939306,24.823373,0.7391
2004_12,180,112.952206,24.823523,0.7396
2004_12,181,112.965706,24.823523,0.7546
2004_12,182,112.886356,24.832073,0.7161
2004_12,183,112.900906,24.834173,0.7448
2004_12,184,112.915156,24.833723,0.76839995
2004_12,185,112.888306,24.840623,0.73139995
2004_12,186,112.887856,24.850823,0.6896
