year_month,region_id,longitude,latitude,ndvi
2008_05,1,112.954156,24.688673,0.741
2008_05,2,112.965106,24.687923,0.7553
2008_05,3,112.978756,24.687773,0.6857
2008_05,4,112.861906,24.697823,0.67759997
2008_05,5,112.888156,24.697973,0.81729996
2008_05,6,112.938256,24.697073,0.8145
2008_05,7,112.952206,24.696623,0.7572
2008_05,8,112.965106,24.696623,0.7624
2008_05,9,112.978006,24.696623,0.73289996
2008_05,10,112.990756,24.695123,0.7312
2008_05,11,113.003506,24.695873,0.6716
2008_05,12,113.015806,24.695573,0.6146
2008_05,13,112.850656,24.702473,0.6648
2008_05,14,112.862356,24.705023,0.6648
2008_05,15,112.875106,24.702923,0.72779995
2008_05,16,112.888006,24.705023,0.8267
2008_05,17,112.900906,24.703073,0.84
2008_05,18,112.913806,24.702773,0.8526
2008_05,19,112.926556,24.702923,0.87869996
2008_05,20,112.939306,24.705023,0.8225
2008_05,21,112.952206,24.705023,0.7238
2008_05,22,112.965106,24.705023,0.72999996
2008_05,23,112.978006,24.705023,0.7381
2008_05,24,112.990756,24.705023,0.7421
2008_05,25,113.003506,24.705023,0.67579997
2008_05,26,113.014606,24.707873,0.682
2008_05,27,112.851406,24.713423,0.6796
2008_05,28,112.862356,24.713423,0.7129
2008_05,29,112.875106,24.713423,0.7078
2008_05,30,112.888006,24.713423,0.73719996
2008_05,31,112.900906,24.713423,0.7787
2008_05,32,112.913806,24.713423,0.8282
2008_05,33,112.926556,24.713423,0.819
2008_05,34,112.939306,24.713423,0.7834
2008_05,35,112.952206,24.713423,0.7033
2008_05,36,112.965106,24.713423,0.68299997
2008_05,37,112.978006,24.713423,0.70159996
2008_05,38,112.990756,24.713423,0.71239996
2008_05,39,113.005306,24.713423,0.66749996
2008_05,40,112.852156,24.724073,0.6597
2008_05,41,112.862356,24.721823,0.7093
2008_05,42,112.875106,24.721823,0.7251
2008_05,43,112.888006,24.721823,0.7578
2008_05,44,112.900906,24.721823,0.7766
2008_05,45,112.913806,24.721823,0.803
2008_05,46,112.926556,24.721823,0.82189995
2008_05,47,112.939306,24.721823,0.7762
2008_05,48,112.952206,24.721823,0.7159
2008_05,49,112.965106,24.721823,0.6829
2008_05,50,112.978006,24.721823,0.6656
2008_05,51,112.990756,24.721823,0.6656
2008_05,52,113.004856,24.721823,0.64879996
2008_05,53,112.860856,24.730373,0.685
2008_05,54,112.875106,24.730373,0.7198
2008_05,55,112.888006,24.730373,0.7718
2008_05,56,112.900906,24.730373,0.8311
2008_05,57,112.913806,24.730373,0.8311
2008_05,58,112.926556,24.730373,0.8258
2008_05,59,112.939306,24.730373,0.76669997
2008_05,60,112.952206,24.730373,0.65309995
2008_05,61,112.965106,24.730373,0.6701
2008_05,62,112.978006,24.730373,0.6762
2008_05,63,112.990756,24.730373,0.65309995
2008_05,64,113.004256,24.730373,0.6742
2008_05,65,112.852006,24.736823,0.6809
2008_05,66,112.862356,24.738923,0.7054
2008_05,67,112.875106,24.738923,0.7581
2008_05,68,112.888006,24.738923,0.755
2008_05,69,112.900906,24.738923,0.6996
2008_05,70,112.913806,24.738923,0.72179997
2008_05,71,112.926556,24.738923,0.7252
2008_05,72,112.939306,24.738923,0.73319995
2008_05,73,112.952206,24.738923,0.6908
2008_05,74,112.965106,24.738923,0.6976
2008_05,75,112.978006,24.738923,0.6665
2008_05,76,112.990756,24.740873,0.6708
2008_05,77,113.001856,24.737423,0.53709996
2008_05,78,112.852006,24.747323,0.6843
2008_05,79,112.862356,24.747323,0.6926
2008_05,80,112.875106,24.747323,0.7111
2008_05,81,112.888006,24.747323,0.7075
2008_05,82,112.900906,24.747323,0.6999
2008_05,83,112.913806,24.747323,0.6958
2008_05,84,112.926556,24.747323,0.715
2008_05,85,112.939306,24.747323,0.71889997
2008_05,86,112.952206,24.747323,0.7068
2008_05,87,112.965106,24.747323,0.6763
2008_05,88,112.979356,24.747323,0.68869996
2008_05,89,112.850356,24.755723,0.72499996
2008_05,90,112.862356,24.755723,0.741
2008_05,91,112.875106,24.755723,0.7158
2008_05,92,112.888006,24.755723,0.706
2008_05,93,112.900906,24.755723,0.7069
2008_05,94,112.913806,24.755723,0.7076
2008_05,95,112.926556,24.755723,0.70669997
2008_05,96,112.939306,24.755723,0.7169
2008_05,97,112.952206,24.755723,0.6861
2008_05,98,112.965106,24.755723,0.6861
2008_05,99,112.979206,24.755723,0.6843
2008_05,100,112.848406,24.764273,0.7161
2008_05,101,112.862356,24.764273,0.71389997
2008_05,102,112.875106,24.764273,0.7224
2008_05,103,112.888006,24.764273,0.7224
2008_05,104,112.900906,24.764273,0.6982
2008_05,105,112.913806,24.764273,0.70339996
2008_05,106,112.926556,24.764273,0.7137
2008_05,107,112.939306,24.764273,0.7158
2008_05,108,112.952206,24.764273,0.71889997
2008_05,109,112.965106,24.764273,0.71309996
2008_05,110,112.979056,24.764273,0.69449997
2008_05,111,112.838506,24.771023,0.7441
2008_05,112,112.849606,24.772823,0.7639
2008_05,113,112.862356,24.772823,0.7015
2008_05,114,112.875106,24.772823,0.7032
2008_05,115,112.888006,24.772823,0.7154
2008_05,116,112.900906,24.772823,0.7152
2008_05,117,112.913806,24.772823,0.678
2008_05,118,112.926556,24.772823,0.71639997
2008_05,119,112.939306,24.772823,0.7241
2008_05,120,112.952206,24.772823,0.7076
2008_05,121,112.965106,24.772823,0.7115
2008_05,122,112.978756,24.772823,0.67609996
2008_05,123,112.838056,24.784523,0.7122
2008_05,124,112.849606,24.781223,0.7245
2008_05,125,112.862356,24.781223,0.5597
2008_05,126,112.875106,24.781223,0.7079
2008_05,127,112.888006,24.781223,0.717
2008_05,128,112.900906,24.781223,0.7241
2008_05,129,112.913806,24.781223,0.7241
2008_05,130,112.926556,24.781223,0.7344
2008_05,131,112.939306,24.781223,0.7267
2008_05,132,112.952206,24.781223,0.73899996
2008_05,133,112.965106,24.781223,0.7571
2008_05,134,112.978606,24.781223,0.6981
2008_05,135,112.847356,24.789623,0.74649996
2008_05,136,112.862356,24.789623,0.657
2008_05,137,112.875106,24.789623,0.70089996
2008_05,138,112.888006,24.789623,0.7211
2008_05,139,112.900906,24.789623,0.7292
2008_05,140,112.913806,24.789623,0.75119996
2008_05,141,112.926556,24.789623,0.7507
2008_05,142,112.939306,24.789623,0.7481
2008_05,143,112.952206,24.789623,0.76919997
2008_05,144,112.965106,24.789623,0.745
2008_05,145,112.978306,24.789623,0.7129
2008_05,146,112.847806,24.799523,0.7572
2008_05,147,112.862356,24.799223,0.70519996
2008_05,148,112.875106,24.798173,0.6925
2008_05,149,112.888006,24.798173,0.7037
2008_05,150,112.900906,24.798173,0.72609997
2008_05,151,112.913806,24.798173,0.7721
2008_05,152,112.926556,24.798173,0.7816
2008_05,153,112.939306,24.798173,0.76989996
2008_05,154,112.952206,24.798173,0.71669996
2008_05,155,112.965106,24.798173,0.77919996
2008_05,156,112.977856,24.798173,0.7269
2008_05,157,112.874356,24.806723,0.70769995
2008_05,158,112.888006,24.806723,0.705
2008_05,159,112.900906,24.806723,0.7197
2008_05,160,112.913806,24.806723,0.728
2008_05,161,112.926556,24.806723,0.78029996
2008_05,162,112.939306,24.806723,0.70629996
2008_05,163,112.952206,24.806723,0.76629996
2008_05,164,112.965106,24.806723,0.76629996
2008_05,165,112.977556,24.809423,0.76699996
2008_05,166,112.875256,24.815123,0.7073
2008_05,167,112.888006,24.815123,0.7073
2008_05,168,112.900906,24.815123,0.7267
2008_05,169,112.913806,24.815123,0.75439996
2008_05,170,112.926556,24.815123,0.7714
2008_05,171,112.939306,24.815123,0.7622
2008_05,172,112.952206,24.815123,0.7916
2008_05,173,112.966756,24.815123,0.76699996
2008_05,174,112.878106,24.826223,0.7466
2008_05,175,112.888006,24.823523,0.7277
2008_05,176,112.900906,24.823523,0.7425
2008_05,177,112.913806,24.823523,0.7582
2008_05,178,112.926556,24.824273,0.8056
2008_05,179,112.939306,24.823373,0.79499996
2008_05,180,112.952206,24.823523,0.7783
2008_05,181,112.965706,24.823523,0.78139997
2008_05,182,112.886356,24.832073,0.7115
2008_05,183,112.900906,24.834173,0.7068
2008_05,184,112.915156,24.833723,0.70519996
2008_05,185,112.888306,24.840623,0.7248
2008_05,186,112.887856,24.850823,0.709
