-999.00,-999.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,592.00,592.00,592.00,592.00,592.00,592.00,592.00,592.00,592.00,592.00,592.00,592.00,592.00,591.00,588.00,592.00,596.00,610.00,623.00,620.00,609.00,612.00,624.00,640.00,660.00,669.00,682.00,684.00,696.00,704.00,732.00,748.00,762.00,783.00,817.00,814.00,823.00,836.00
-999.00,-999.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,597.00,609.00,608.00,622.00,635.00,638.00,637.00,640.00,643.00,650.00,661.00,666.00,681.00,687.00,695.00,697.00,726.00,750.00,763.00,780.00,819.00,819.00,837.00,858.00,867.00
-999.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,593.00,602.00,609.00,618.00,633.00,647.00,658.00,667.00,669.00,668.00,667.00,667.00,674.00,685.00,708.00,702.00,727.00,749.00,764.00,785.00,801.00,819.00,832.00,853.00,872.00,887.00
-999.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,602.00,617.00,642.00,652.00,654.00,666.00,676.00,679.00,678.00,673.00,670.00,685.00,697.00,732.00,730.00,751.00,770.00,782.00,804.00,815.00,826.00,836.00,863.00,881.00,902.00
628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,620.00,637.00,652.00,671.00,671.00,669.00,685.00,689.00,690.00,692.00,691.00,697.00,730.00,762.00,772.00,788.00,802.00,813.00,830.00,832.00,838.00,857.00,872.00,897.00,904.00
638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,635.00,648.00,671.00,688.00,690.00,699.00,715.00,717.00,717.00,717.00,719.00,733.00,766.00,777.00,793.00,813.00,845.00,855.00,854.00,855.00,858.00,872.00,892.00,900.00,916.00
-999.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,638.00,656.00,665.00,688.00,701.00,703.00,728.00,737.00,736.00,736.00,739.00,741.00,749.00,777.00,793.00,812.00,846.00,856.00,860.00,867.00,866.00,873.00,881.00,893.00,906.00,911.00
-999.00,677.00,677.00,677.00,677.00,677.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,662.00,669.00,702.00,713.00,710.00,735.00,743.00,754.00,760.00,761.00,767.00,767.00,771.00,792.00,810.00,833.00,850.00,865.00,863.00,869.00,878.00,886.00,896.00,900.00,908.00,912.00
-999.00,-999.00,701.00,701.00,701.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,677.00,703.00,720.00,732.00,729.00,741.00,757.00,774.00,780.00,783.00,788.00,788.00,792.00,810.00,822.00,844.00,844.00,859.00,865.00,872.00,880.00,891.00,904.00,906.00,907.00,906.00
-999.00,-999.00,-999.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,711.00,732.00,732.00,739.00,754.00,774.00,777.00,790.00,789.00,792.00,794.00,810.00,814.00,829.00,841.00,843.00,847.00,858.00,874.00,883.00,891.00,904.00,906.00,912.00,909.00
-999.00,-999.00,-999.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,694.00,716.00,733.00,750.00,758.00,761.00,770.00,783.00,787.00,796.00,792.00,791.00,803.00,805.00,815.00,826.00,839.00,837.00,852.00,858.00,877.00,879.00,888.00,907.00,912.00,888.00
-999.00,-999.00,-999.00,-999.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,725.00,745.00,751.00,754.00,758.00,766.00,773.00,780.00,789.00,787.00,781.00,788.00,795.00,804.00,812.00,831.00,831.00,830.00,842.00,849.00,857.00,864.00,873.00,873.00,868.00
-999.00,-999.00,-999.00,-999.00,-999.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,725.00,743.00,747.00,748.00,755.00,764.00,773.00,775.00,776.00,777.00,773.00,780.00,789.00,795.00,798.00,814.00,819.00,819.00,826.00,841.00,847.00,850.00,856.00,868.00,863.00
-999.00,-999.00,-999.00,-999.00,-999.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,711.00,711.00,711.00,724.00,749.00,750.00,761.00,767.00,763.00,767.00,770.00,769.00,769.00,776.00,778.00,789.00,788.00,802.00,807.00,805.00,808.00,828.00,838.00,854.00,854.00,856.00,852.00
-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,705.00,705.00,705.00,705.00,705.00,705.00,720.00,730.00,753.00,754.00,751.00,756.00,759.00,764.00,765.00,761.00,766.00,773.00,780.00,768.00,769.00,785.00,796.00,798.00,810.00,819.00,842.00,851.00,847.00,833.00
-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,685.00,685.00,685.00,685.00,685.00,685.00,685.00,685.00,685.00,685.00,698.00,723.00,719.00,726.00,742.00,744.00,750.00,759.00,760.00,756.00,758.00,761.00,760.00,764.00,762.00,761.00,767.00,774.00,781.00,805.00,818.00,814.00,808.00,810.00
-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,704.00,678.00,678.00,678.00,678.00,678.00,678.00,678.00,678.00,678.00,678.00,678.00,678.00,678.00,678.00,678.00,678.00,685.00,690.00,691.00,710.00,713.00,725.00,741.00,749.00,748.00,750.00,752.00,759.00,751.00,751.00,748.00,748.00,755.00,760.00,769.00,782.00,795.00,794.00,804.00,800.00
-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,704.00,704.00,704.00,704.00,663.00,663.00,663.00,663.00,663.00,663.00,663.00,663.00,663.00,663.00,663.00,663.00,663.00,663.00,663.00,663.00,663.00,663.00,663.00,663.00,663.00,663.00,662.00,650.00,650.00,668.00,701.00,699.00,698.00,703.00,701.00,741.00,747.00,748.00,738.00,737.00,731.00,731.00,738.00,737.00,744.00,763.00,778.00,782.00,790.00,789.00
-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,639.00,642.00,644.00,649.00,675.00,687.00,683.00,680.00,685.00,700.00,739.00,732.00,724.00,721.00,721.00,721.00,718.00,743.00,743.00,745.00,754.00,760.00,776.00,762.00
-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,629.00,629.00,629.00,629.00,629.00,629.00,629.00,629.00,629.00,629.00,629.00,629.00,629.00,629.00,629.00,629.00,629.00,629.00,629.00,629.00,629.00,629.00,629.00,629.00,629.00,630.00,631.00,630.00,637.00,656.00,663.00,646.00,650.00,689.00,687.00,680.00,687.00,685.00,706.00,714.00,710.00,713.00,715.00,719.00,722.00,734.00,739.00,750.00,736.00
-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,628.00,622.00,625.00,629.00,633.00,629.00,633.00,630.00,642.00,647.00,651.00,658.00,664.00,666.00,687.00,702.00,703.00,709.00,711.00,711.00,709.00,720.00,727.00,724.00,736.00
-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,612.00,612.00,612.00,612.00,612.00,612.00,612.00,612.00,612.00,612.00,612.00,612.00,612.00,612.00,612.00,612.00,612.00,612.00,612.00,612.00,612.00,612.00,612.00,608.00,607.00,615.00,613.00,614.00,609.00,610.00,610.00,626.00,632.00,635.00,652.00,662.00,671.00,690.00,696.00,705.00,708.00,707.00,702.00,704.00,727.00,724.00,712.00
-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,596.00,595.00,604.00,598.00,595.00,589.00,585.00,583.00,599.00,610.00,615.00,638.00,649.00,660.00,672.00,694.00,698.00,699.00,699.00,702.00,704.00,700.00,707.00,710.00
-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,579.00,579.00,579.00,579.00,579.00,579.00,579.00,579.00,579.00,579.00,579.00,579.00,579.00,579.00,579.00,579.00,579.00,579.00,579.00,579.00,579.00,579.00,579.00,578.00,578.00,577.00,570.00,566.00,562.00,579.00,584.00,593.00,607.00,621.00,634.00,646.00,659.00,673.00,689.00,692.00,699.00,698.00,695.00,701.00,708.00,706.00
-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,573.00,571.00,572.00,566.00,556.00,547.00,549.00,559.00,571.00,584.00,596.00,608.00,628.00,646.00,656.00,670.00,689.00,692.00,691.00,691.00,695.00,697.00,700.00,696.00
-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,569.00,576.00,570.00,556.00,546.00,535.00,538.00,545.00,560.00,572.00,585.00,596.00,608.00,628.00,656.00,670.00,680.00,686.00,686.00,681.00,684.00,692.00,700.00,684.00
-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,561.00,561.00,561.00,568.00,560.00,551.00,538.00,523.00,523.00,534.00,542.00,559.00,573.00,580.00,608.00,628.00,643.00,672.00,681.00,685.00,681.00,676.00,683.00,687.00,689.00,673.00
