-999.00,-999.00,-999.00,-999.00,-999.00,374.00,386.00,394.00,411.00,431.00,442.00,449.00,460.00,469.00,489.00,504.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
-999.00,-999.00,-999.00,-999.00,-999.00,372.00,385.00,390.00,412.00,431.00,438.00,440.00,445.00,469.00,481.00,488.00,497.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
-999.00,-999.00,-999.00,-999.00,-999.00,369.00,382.00,397.00,412.00,422.00,430.00,429.00,432.00,449.00,466.00,484.00,495.00,497.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
-999.00,-999.00,-999.00,-999.00,-999.00,367.00,385.00,404.00,412.00,418.00,417.00,417.00,416.00,439.00,455.00,470.00,488.00,493.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
-999.00,-999.00,-999.00,-999.00,-999.00,362.00,382.00,399.00,405.00,408.00,398.00,395.00,401.00,429.00,445.00,459.00,472.00,482.00,494.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
-999.00,-999.00,-999.00,-999.00,330.00,362.00,376.00,392.00,401.00,404.00,389.00,385.00,392.00,417.00,429.00,442.00,458.00,470.00,478.00,484.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
-999.00,-999.00,-999.00,-999.00,328.00,352.00,369.00,382.00,387.00,381.00,380.00,379.00,393.00,398.00,408.00,419.00,432.00,441.00,464.00,474.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
-999.00,-999.00,-999.00,-999.00,327.00,338.00,353.00,363.00,365.00,362.00,366.00,366.00,386.00,388.00,394.00,399.00,410.00,424.00,437.00,464.00,474.00,-999.00,-999.00,-999.00,-999.00,-999.00
-999.00,-999.00,-999.00,-999.00,313.00,327.00,341.00,349.00,346.00,344.00,349.00,353.00,376.00,368.00,375.00,394.00,403.00,417.00,427.00,450.00,476.00,480.00,-999.00,-999.00,-999.00,-999.00
-999.00,-999.00,-999.00,-999.00,312.00,328.00,344.00,349.00,340.00,339.00,338.00,343.00,365.00,374.00,371.00,381.00,394.00,411.00,427.00,450.00,476.00,481.00,-999.00,-999.00,-999.00,-999.00
