1360.00,1329.00,1329.00,1329.00,1329.00,1329.00,1329.00,1329.00,1342.00,1352.00,1357.00,1355.00,1339.00,1331.00,1318.00,1312.00,1287.00,1275.00,1263.00,1251.00,1246.00,1243.00,1245.00,1251.00,1251.00,1242.00,1233.00,1228.00,1227.00,1225.00
1329.00,1329.00,1329.00,1329.00,1329.00,1329.00,1329.00,1329.00,1342.00,1352.00,1357.00,1355.00,1339.00,1331.00,1318.00,1312.00,1287.00,1275.00,1263.00,1251.00,1246.00,1243.00,1245.00,1251.00,1251.00,1242.00,1233.00,1228.00,1227.00,1225.00
-999.00,1329.00,1329.00,1329.00,1329.00,1329.00,1329.00,1329.00,1342.00,1352.00,1357.00,1355.00,1339.00,1331.00,1318.00,1303.00,1287.00,1275.00,1263.00,1251.00,1246.00,1243.00,1245.00,1251.00,1251.00,1242.00,1233.00,1228.00,1227.00,1225.00
-999.00,-999.00,1329.00,1329.00,1329.00,1329.00,1329.00,1329.00,1342.00,1352.00,1357.00,1355.00,1339.00,1331.00,1318.00,1303.00,1287.00,1275.00,1263.00,1251.00,1246.00,1243.00,1245.00,1251.00,1251.00,1242.00,1233.00,1228.00,1227.00,1225.00
-999.00,-999.00,1329.00,1329.00,1329.00,1329.00,1329.00,1329.00,1342.00,1352.00,1357.00,1355.00,1339.00,1331.00,1318.00,1303.00,1287.00,1275.00,1263.00,1251.00,1246.00,1243.00,1245.00,1251.00,1251.00,1242.00,1233.00,1228.00,1227.00,1225.00
-999.00,-999.00,-999.00,1329.00,1329.00,1329.00,1329.00,1329.00,1342.00,1352.00,1357.00,1355.00,1339.00,1331.00,1318.00,1303.00,1287.00,1275.00,1263.00,1251.00,1246.00,1243.00,1245.00,1251.00,1251.00,1242.00,1233.00,1228.00,1227.00,1223.00
-999.00,-999.00,-999.00,1329.00,1329.00,1329.00,1329.00,1329.00,1342.00,1352.00,1357.00,1355.00,1339.00,1331.00,1312.00,1303.00,1287.00,1275.00,1263.00,1251.00,1246.00,1243.00,1245.00,1251.00,1251.00,1242.00,1233.00,1228.00,1227.00,1223.00
-999.00,-999.00,-999.00,-999.00,1329.00,1329.00,1329.00,1329.00,1342.00,1352.00,1357.00,1355.00,1339.00,1331.00,1312.00,1303.00,1287.00,1275.00,1263.00,1251.00,1246.00,1243.00,1245.00,1251.00,1251.00,1242.00,1233.00,1228.00,1227.00,1223.00
-999.00,-999.00,-999.00,-999.00,-999.00,1329.00,1329.00,1329.00,1342.00,1352.00,1357.00,1355.00,1339.00,1331.00,1312.00,1303.00,1287.00,1275.00,1263.00,1251.00,1246.00,1243.00,1245.00,1251.00,1251.00,1242.00,1233.00,1228.00,1227.00,1223.00
-999.00,-999.00,-999.00,-999.00,-999.00,1329.00,1329.00,1329.00,1342.00,1352.00,1357.00,1355.00,1339.00,1331.00,1312.00,1303.00,1287.00,1275.00,1263.00,1251.00,1246.00,1243.00,1245.00,1251.00,1251.00,1242.00,1233.00,1228.00,1225.00,1223.00
-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1329.00,1329.00,1342.00,1352.00,1357.00,1355.00,1339.00,1331.00,1312.00,1303.00,1287.00,1275.00,1263.00,1251.00,1246.00,1243.00,1245.00,1251.00,1251.00,1242.00,1233.00,1228.00,1225.00,1223.00
-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1329.00,1342.00,1352.00,1357.00,1355.00,1339.00,1318.00,1312.00,1303.00,1287.00,1275.00,1263.00,1251.00,1246.00,1243.00,1245.00,1251.00,1251.00,1242.00,1233.00,1228.00,1225.00,1223.00
