337.00,322.00,311.00,302.00,296.00,288.00,274.00,279.00,288.00,304.00,298.00,285.00,277.00,266.00,259.00,255.00,254.00,256.00,253.00,254.00,264.00,271.00,278.00,283.00,288.00,319.00,333.00,342.00,354.00,374.00,387.00,396.00,410.00,423.00,431.00,444.00,464.00,476.00,496.00,506.00,540.00,566.00,589.00
358.00,345.00,328.00,315.00,302.00,296.00,293.00,294.00,299.00,306.00,309.00,291.00,289.00,277.00,270.00,257.00,254.00,257.00,257.00,259.00,266.00,275.00,281.00,285.00,290.00,317.00,335.00,351.00,364.00,380.00,394.00,411.00,416.00,427.00,438.00,444.00,464.00,480.00,495.00,523.00,548.00,567.00,585.00
366.00,355.00,347.00,334.00,319.00,310.00,304.00,298.00,304.00,308.00,302.00,294.00,288.00,274.00,277.00,275.00,262.00,259.00,260.00,263.00,266.00,271.00,277.00,283.00,310.00,328.00,344.00,357.00,366.00,375.00,388.00,406.00,421.00,427.00,438.00,456.00,471.00,489.00,503.00,528.00,544.00,563.00,584.00
366.00,360.00,358.00,343.00,332.00,323.00,314.00,308.00,306.00,303.00,299.00,293.00,288.00,276.00,276.00,269.00,269.00,264.00,265.00,269.00,273.00,276.00,281.00,297.00,319.00,334.00,346.00,354.00,358.00,363.00,380.00,406.00,421.00,428.00,446.00,463.00,477.00,487.00,496.00,528.00,542.00,556.00,572.00
360.00,360.00,362.00,349.00,343.00,331.00,323.00,317.00,311.00,300.00,294.00,289.00,286.00,280.00,275.00,275.00,279.00,276.00,279.00,282.00,288.00,290.00,298.00,308.00,321.00,331.00,346.00,355.00,360.00,363.00,380.00,396.00,422.00,434.00,447.00,465.00,476.00,486.00,500.00,524.00,537.00,546.00,560.00
362.00,362.00,362.00,373.00,353.00,343.00,330.00,321.00,316.00,304.00,302.00,295.00,288.00,287.00,296.00,290.00,289.00,286.00,289.00,288.00,304.00,305.00,305.00,309.00,319.00,329.00,346.00,355.00,360.00,366.00,373.00,390.00,409.00,425.00,436.00,457.00,470.00,483.00,505.00,523.00,529.00,541.00,564.00
362.00,373.00,373.00,373.00,378.00,365.00,348.00,334.00,325.00,312.00,312.00,307.00,300.00,299.00,307.00,300.00,301.00,295.00,291.00,307.00,312.00,323.00,324.00,321.00,330.00,329.00,346.00,357.00,362.00,368.00,374.00,388.00,407.00,424.00,432.00,449.00,467.00,477.00,495.00,515.00,534.00,549.00,562.00
373.00,373.00,378.00,378.00,374.00,374.00,365.00,348.00,338.00,332.00,334.00,323.00,312.00,311.00,316.00,311.00,310.00,306.00,303.00,306.00,323.00,330.00,343.00,321.00,330.00,338.00,348.00,362.00,373.00,382.00,388.00,403.00,415.00,423.00,435.00,451.00,469.00,480.00,500.00,515.00,533.00,554.00,561.00
373.00,378.00,378.00,374.00,374.00,374.00,354.00,354.00,341.00,344.00,342.00,337.00,338.00,335.00,319.00,315.00,314.00,314.00,312.00,318.00,325.00,330.00,343.00,344.00,344.00,348.00,354.00,370.00,379.00,392.00,403.00,411.00,430.00,429.00,447.00,467.00,478.00,486.00,516.00,528.00,542.00,561.00,581.00
378.00,378.00,374.00,374.00,374.00,354.00,354.00,354.00,341.00,344.00,346.00,350.00,351.00,347.00,340.00,334.00,320.00,323.00,322.00,318.00,325.00,340.00,350.00,357.00,357.00,357.00,368.00,373.00,393.00,402.00,416.00,427.00,436.00,446.00,462.00,473.00,482.00,496.00,532.00,542.00,558.00,576.00,588.00
378.00,374.00,374.00,374.00,374.00,354.00,354.00,354.00,341.00,346.00,346.00,350.00,351.00,347.00,359.00,355.00,347.00,331.00,322.00,323.00,332.00,340.00,349.00,379.00,384.00,378.00,378.00,392.00,397.00,409.00,431.00,443.00,459.00,465.00,472.00,485.00,489.00,524.00,538.00,552.00,567.00,580.00,591.00
374.00,374.00,374.00,374.00,354.00,354.00,354.00,354.00,341.00,346.00,346.00,350.00,351.00,359.00,359.00,355.00,347.00,331.00,337.00,335.00,338.00,346.00,376.00,387.00,397.00,409.00,407.00,403.00,412.00,429.00,440.00,456.00,469.00,477.00,487.00,501.00,511.00,528.00,539.00,553.00,569.00,579.00,589.00
374.00,374.00,374.00,374.00,354.00,354.00,354.00,346.00,346.00,346.00,346.00,350.00,359.00,359.00,359.00,355.00,347.00,349.00,349.00,340.00,341.00,349.00,373.00,394.00,410.00,416.00,418.00,430.00,436.00,438.00,455.00,469.00,473.00,483.00,498.00,511.00,526.00,542.00,549.00,556.00,567.00,577.00,589.00
374.00,374.00,374.00,354.00,354.00,354.00,354.00,346.00,346.00,346.00,346.00,350.00,359.00,359.00,359.00,379.00,379.00,379.00,364.00,359.00,351.00,356.00,383.00,398.00,407.00,420.00,443.00,443.00,444.00,463.00,468.00,474.00,488.00,505.00,504.00,517.00,534.00,564.00,560.00,558.00,563.00,572.00,582.00
374.00,374.00,374.00,354.00,354.00,354.00,354.00,346.00,346.00,346.00,346.00,350.00,359.00,359.00,379.00,379.00,379.00,379.00,385.00,380.00,379.00,377.00,399.00,403.00,410.00,431.00,449.00,466.00,481.00,480.00,480.00,494.00,508.00,516.00,519.00,536.00,559.00,561.00,563.00,568.00,569.00,565.00,563.00
374.00,374.00,354.00,354.00,354.00,354.00,354.00,346.00,346.00,346.00,346.00,359.00,397.00,397.00,397.00,397.00,397.00,397.00,398.00,404.00,401.00,404.00,411.00,410.00,420.00,442.00,468.00,480.00,485.00,497.00,500.00,509.00,519.00,529.00,544.00,556.00,556.00,558.00,561.00,566.00,561.00,553.00,550.00
374.00,374.00,354.00,354.00,354.00,354.00,354.00,346.00,346.00,346.00,486.00,486.00,486.00,415.00,415.00,415.00,415.00,415.00,414.00,409.00,421.00,417.00,410.00,420.00,442.00,464.00,464.00,475.00,491.00,506.00,518.00,521.00,535.00,540.00,547.00,554.00,558.00,559.00,559.00,550.00,548.00,538.00,538.00
374.00,354.00,354.00,354.00,354.00,354.00,354.00,346.00,346.00,486.00,486.00,486.00,486.00,486.00,486.00,439.00,439.00,439.00,430.00,425.00,432.00,428.00,429.00,438.00,452.00,463.00,471.00,481.00,497.00,515.00,520.00,527.00,536.00,546.00,544.00,548.00,552.00,553.00,554.00,539.00,530.00,527.00,525.00
354.00,354.00,354.00,354.00,354.00,470.00,474.00,474.00,474.00,486.00,486.00,486.00,486.00,486.00,486.00,486.00,486.00,463.00,453.00,448.00,453.00,441.00,445.00,450.00,461.00,464.00,477.00,489.00,508.00,513.00,522.00,531.00,535.00,536.00,533.00,534.00,543.00,544.00,528.00,515.00,511.00,511.00,510.00
354.00,354.00,470.00,470.00,470.00,470.00,470.00,474.00,474.00,474.00,474.00,486.00,486.00,486.00,486.00,486.00,486.00,480.00,481.00,471.00,470.00,457.00,456.00,463.00,469.00,469.00,483.00,491.00,504.00,508.00,513.00,522.00,528.00,524.00,525.00,515.00,514.00,510.00,506.00,495.00,496.00,498.00,500.00
470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,474.00,474.00,474.00,474.00,502.00,502.00,502.00,502.00,502.00,499.00,506.00,507.00,493.00,495.00,488.00,476.00,474.00,483.00,484.00,485.00,494.00,497.00,503.00,506.00,521.00,516.00,512.00,496.00,496.00,486.00,481.00,485.00,488.00,494.00,501.00
470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,474.00,474.00,474.00,474.00,472.00,500.00,500.00,500.00,506.00,507.00,508.00,500.00,500.00,497.00,496.00,497.00,487.00,481.00,480.00,483.00,486.00,489.00,491.00,496.00,502.00,500.00,485.00,477.00,467.00,460.00,461.00,476.00,480.00,495.00
470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,474.00,474.00,474.00,474.00,472.00,486.00,486.00,491.00,497.00,495.00,492.00,496.00,501.00,498.00,498.00,493.00,483.00,480.00,476.00,474.00,476.00,473.00,468.00,490.00,486.00,468.00,458.00,450.00,447.00,447.00,455.00,465.00,477.00
470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,474.00,474.00,469.00,472.00,472.00,477.00,476.00,476.00,474.00,482.00,488.00,490.00,490.00,485.00,484.00,477.00,469.00,460.00,456.00,449.00,455.00,474.00,474.00,452.00,442.00,437.00,437.00,438.00,445.00,452.00,462.00
470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,474.00,469.00,468.00,465.00,467.00,460.00,460.00,459.00,470.00,473.00,475.00,483.00,487.00,477.00,469.00,459.00,452.00,446.00,454.00,459.00,456.00,444.00,438.00,433.00,430.00,430.00,428.00,429.00,436.00,446.00
470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,463.00,455.00,458.00,454.00,441.00,447.00,443.00,448.00,453.00,457.00,463.00,469.00,473.00,462.00,456.00,450.00,441.00,439.00,448.00,441.00,444.00,432.00,425.00,422.00,421.00,418.00,420.00,426.00,428.00,433.00
459.00,459.00,459.00,459.00,459.00,459.00,459.00,459.00,459.00,459.00,459.00,459.00,459.00,441.00,436.00,430.00,418.00,425.00,428.00,438.00,436.00,437.00,440.00,442.00,446.00,441.00,437.00,440.00,444.00,434.00,426.00,419.00,422.00,427.00,415.00,407.00,399.00,406.00,406.00,407.00,411.00,412.00,414.00
429.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00,418.00,413.00,394.00,400.00,393.00,407.00,409.00,417.00,424.00,428.00,430.00,431.00,424.00,423.00,422.00,417.00,406.00,402.00,399.00,400.00,393.00,381.00,381.00,385.00,393.00,392.00,394.00,396.00,399.00,401.00
