-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,618.00,615.00,619.00,622.00,642.00,649.00,668.00,665.00,674.00,684.00,700.00,714.00,712.00,695.00,702.00,706.00,720.00,739.00,749.00,748.00,756.00,762.00,774.00,773.00,779.00,793.00,801.00,808.00,825.00,835.00,843.00,861.00,870.00,878.00,883.00,887.00,882.00,875.00,875.00,870.00,874.00,875.00,873.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,611.00,612.00,615.00,607.00,610.00,618.00,635.00,644.00,642.00,647.00,662.00,675.00,685.00,685.00,675.00,667.00,667.00,680.00,688.00,695.00,705.00,719.00,737.00,746.00,757.00,766.00,777.00,790.00,804.00,828.00,840.00,849.00,859.00,869.00,879.00,883.00,887.00,891.00,896.00,894.00,886.00,880.00,881.00,886.00,884.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,594.00,595.00,589.00,605.00,603.00,613.00,623.00,624.00,626.00,621.00,617.00,635.00,638.00,640.00,637.00,642.00,651.00,644.00,654.00,672.00,686.00,693.00,706.00,733.00,738.00,759.00,776.00,784.00,793.00,822.00,837.00,842.00,853.00,864.00,879.00,888.00,894.00,900.00,903.00,902.00,895.00,895.00,898.00,902.00,894.00,891.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,574.00,573.00,574.00,578.00,593.00,590.00,588.00,590.00,598.00,603.00,601.00,599.00,596.00,595.00,596.00,604.00,612.00,614.00,626.00,632.00,638.00,658.00,664.00,685.00,704.00,729.00,741.00,766.00,776.00,783.00,812.00,820.00,830.00,853.00,864.00,878.00,887.00,893.00,901.00,906.00,909.00,904.00,906.00,906.00,909.00,902.00,898.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
-999.00,-999.00,-999.00,-999.00,-999.00,563.00,553.00,557.00,556.00,561.00,569.00,574.00,567.00,576.00,575.00,580.00,578.00,575.00,574.00,573.00,574.00,578.00,581.00,589.00,602.00,618.00,629.00,642.00,663.00,671.00,689.00,717.00,739.00,752.00,768.00,780.00,803.00,820.00,830.00,841.00,852.00,870.00,878.00,882.00,897.00,904.00,910.00,908.00,915.00,910.00,915.00,916.00,913.00,906.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
-999.00,-999.00,-999.00,-999.00,-999.00,547.00,534.00,531.00,537.00,537.00,542.00,541.00,547.00,552.00,551.00,560.00,560.00,559.00,560.00,564.00,563.00,564.00,564.00,571.00,585.00,602.00,612.00,632.00,645.00,665.00,683.00,698.00,721.00,743.00,754.00,789.00,803.00,812.00,819.00,836.00,843.00,857.00,866.00,872.00,880.00,890.00,896.00,902.00,909.00,913.00,920.00,916.00,914.00,918.00,913.00,-999.00,-999.00,-999.00,-999.00,-999.00
-999.00,-999.00,-999.00,-999.00,540.00,537.00,516.00,510.00,508.00,507.00,501.00,506.00,511.00,516.00,517.00,523.00,530.00,533.00,533.00,538.00,538.00,544.00,551.00,556.00,565.00,583.00,603.00,608.00,620.00,634.00,661.00,685.00,701.00,743.00,754.00,781.00,792.00,800.00,808.00,818.00,829.00,842.00,849.00,861.00,872.00,882.00,891.00,899.00,904.00,908.00,915.00,914.00,917.00,913.00,910.00,-999.00,-999.00,-999.00,-999.00,-999.00
-999.00,-999.00,-999.00,523.00,517.00,513.00,503.00,484.00,483.00,480.00,479.00,482.00,490.00,494.00,491.00,494.00,498.00,499.00,501.00,501.00,503.00,519.00,528.00,538.00,551.00,571.00,576.00,601.00,602.00,622.00,628.00,685.00,701.00,718.00,742.00,770.00,781.00,786.00,794.00,805.00,819.00,832.00,842.00,852.00,861.00,867.00,875.00,888.00,898.00,900.00,897.00,892.00,890.00,891.00,890.00,897.00,-999.00,-999.00,-999.00,-999.00
-999.00,-999.00,-999.00,512.00,498.00,481.00,469.00,461.00,461.00,459.00,460.00,469.00,476.00,479.00,479.00,481.00,486.00,486.00,485.00,485.00,491.00,488.00,497.00,512.00,533.00,543.00,557.00,579.00,585.00,622.00,628.00,655.00,686.00,697.00,726.00,758.00,768.00,771.00,776.00,791.00,811.00,820.00,827.00,837.00,846.00,855.00,864.00,869.00,880.00,879.00,876.00,877.00,870.00,871.00,878.00,881.00,890.00,-999.00,-999.00,-999.00
-999.00,-999.00,512.00,505.00,491.00,467.00,458.00,451.00,448.00,448.00,449.00,457.00,466.00,471.00,470.00,472.00,477.00,477.00,475.00,472.00,477.00,480.00,478.00,490.00,511.00,519.00,538.00,579.00,585.00,606.00,619.00,621.00,663.00,691.00,709.00,741.00,752.00,759.00,764.00,773.00,790.00,806.00,819.00,826.00,834.00,843.00,852.00,861.00,868.00,864.00,859.00,861.00,864.00,859.00,867.00,873.00,878.00,-999.00,-999.00,-999.00
-999.00,511.00,506.00,500.00,492.00,466.00,451.00,441.00,437.00,436.00,443.00,452.00,460.00,460.00,461.00,461.00,463.00,463.00,461.00,459.00,460.00,463.00,468.00,475.00,488.00,519.00,538.00,559.00,568.00,585.00,594.00,614.00,649.00,674.00,726.00,736.00,742.00,750.00,758.00,768.00,778.00,786.00,797.00,813.00,822.00,832.00,843.00,849.00,861.00,852.00,848.00,852.00,849.00,852.00,852.00,866.00,872.00,882.00,-999.00,-999.00
-999.00,497.00,498.00,489.00,483.00,458.00,449.00,441.00,436.00,438.00,437.00,443.00,451.00,448.00,446.00,446.00,447.00,447.00,444.00,439.00,443.00,443.00,450.00,462.00,488.00,512.00,514.00,536.00,560.00,574.00,586.00,599.00,622.00,644.00,698.00,722.00,739.00,745.00,751.00,763.00,769.00,769.00,784.00,804.00,809.00,818.00,828.00,836.00,837.00,833.00,833.00,834.00,833.00,843.00,846.00,857.00,872.00,886.00,893.00,-999.00
470.00,472.00,476.00,471.00,450.00,442.00,441.00,431.00,431.00,434.00,436.00,429.00,429.00,429.00,430.00,432.00,432.00,431.00,430.00,433.00,435.00,435.00,450.00,462.00,473.00,484.00,510.00,528.00,537.00,556.00,581.00,583.00,600.00,619.00,672.00,698.00,728.00,741.00,751.00,756.00,760.00,767.00,771.00,797.00,802.00,810.00,817.00,825.00,823.00,817.00,815.00,818.00,830.00,834.00,843.00,853.00,860.00,871.00,886.00,-999.00
-999.00,442.00,442.00,439.00,422.00,421.00,414.00,410.00,413.00,423.00,422.00,419.00,413.00,411.00,414.00,418.00,416.00,417.00,417.00,424.00,435.00,435.00,442.00,455.00,466.00,478.00,498.00,507.00,521.00,534.00,549.00,562.00,577.00,597.00,635.00,677.00,721.00,744.00,751.00,754.00,758.00,764.00,776.00,791.00,801.00,808.00,812.00,812.00,809.00,806.00,808.00,805.00,823.00,830.00,827.00,839.00,846.00,862.00,874.00,874.00
