-999.00,-999.00,-999.00,-999.00,258.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
-999.00,-999.00,-999.00,-999.00,258.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
-999.00,-999.00,-999.00,-999.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
-999.00,-999.00,-999.00,-999.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
-999.00,-999.00,-999.00,-999.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
-999.00,-999.00,-999.00,-999.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
-999.00,-999.00,-999.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
-999.00,-999.00,-999.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
-999.00,-999.00,-999.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
-999.00,-999.00,-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
-999.00,-999.00,-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
