-999.00,-999.00,-999.00,-999.00,-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00,318.00
-999.00,-999.00,-999.00,-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00,331.00
-999.00,-999.00,-999.00,-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00,331.00
-999.00,-999.00,-999.00,-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,331.00,351.00
-999.00,-999.00,-999.00,-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00,355.00
-999.00,-999.00,-999.00,-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,355.00,355.00
-999.00,-999.00,-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,355.00,355.00,359.00
-999.00,-999.00,-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,355.00,359.00,359.00
-999.00,-999.00,-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,355.00,359.00,359.00,363.00
-999.00,-999.00,-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,359.00,359.00,363.00,363.00
-999.00,-999.00,-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,359.00,359.00,363.00,363.00,429.00
-999.00,-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,359.00,363.00,429.00,429.00,429.00
-999.00,-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,359.00,429.00,429.00,429.00,429.00,429.00
-999.00,-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,429.00,429.00,429.00,429.00,429.00,429.00
-999.00,-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00
-999.00,-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00
-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00
-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00
-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00
-999.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00,429.00
