832.00,832.00,832.00,832.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
832.00,832.00,832.00,832.00,832.00,832.00,832.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,832.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,832.00,832.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,832.00,832.00,832.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,-999.00,-999.00,-999.00,-999.00,-999.00,832.00,832.00,832.00,832.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,-999.00,-999.00,-999.00,832.00,832.00,832.00,832.00,832.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
962.00,962.00,962.00,962.00,962.00,962.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,-999.00,-999.00,832.00,832.00,832.00,832.00,832.00,832.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
976.00,976.00,976.00,976.00,976.00,976.00,976.00,976.00,976.00,976.00,976.00,976.00,976.00,976.00,976.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,832.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
983.00,983.00,983.00,983.00,983.00,983.00,983.00,983.00,983.00,983.00,983.00,983.00,983.00,983.00,983.00,983.00,983.00,983.00,983.00,983.00,983.00,976.00,976.00,976.00,832.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,983.00,983.00,983.00,983.00,983.00,983.00,983.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,-999.00,-999.00,-999.00,-999.00,-999.00
997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,-999.00,-999.00,-999.00,-999.00,-999.00
997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,-999.00,-999.00,-999.00,-999.00
997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,-999.00,-999.00,-999.00
997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,-999.00,-999.00,-999.00
997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,-999.00,-999.00
997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,-999.00
997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00,997.00
