col,row,longitude,latitude,elevation,region_id
167,140,112.882906,24.814973,1618.000000,167
167,141,112.882906,24.814673,1619.000000,167
167,142,112.882906,24.814373,1618.000000,167
167,143,112.882906,24.814073,1608.000000,167
167,144,112.882906,24.813773,1591.000000,167
167,145,112.882906,24.813473,1591.000000,167
167,146,112.882906,24.813173,1587.000000,167
167,147,112.882906,24.812873,1577.000000,167
167,148,112.882906,24.812573,1565.000000,167
167,149,112.882906,24.812273,1551.000000,167
167,150,112.882906,24.811973,1543.000000,167
167,151,112.882906,24.811673,1550.000000,167
167,152,112.882906,24.811373,1540.000000,167
167,153,112.882906,24.811073,1541.000000,167
168,126,112.883206,24.819173,1452.000000,167
168,127,112.883206,24.818873,1456.000000,167
168,128,112.883206,24.818573,1471.000000,167
168,129,112.883206,24.818273,1481.000000,167
168,130,112.883206,24.817973,1514.000000,167
168,131,112.883206,24.817673,1526.000000,167
168,132,112.883206,24.817373,1550.000000,167
168,133,112.883206,24.817073,1563.000000,167
168,134,112.883206,24.816773,1573.000000,167
168,135,112.883206,24.816473,1580.000000,167
168,136,112.883206,24.816173,1584.000000,167
168,137,112.883206,24.815873,1587.000000,167
168,138,112.883206,24.815573,1599.000000,167
168,139,112.883206,24.815273,1612.000000,167
168,140,112.883206,24.814973,1625.000000,167
168,141,112.883206,24.814673,1625.000000,167
168,142,112.883206,24.814373,1625.000000,167
168,143,112.883206,24.814073,1618.000000,167
168,144,112.883206,24.813773,1618.000000,167
168,145,112.883206,24.813473,1596.000000,167
168,146,112.883206,24.813173,1591.000000,167
168,147,112.883206,24.812873,1581.000000,167
168,148,112.883206,24.812573,1568.000000,167
168,149,112.883206,24.812273,1553.000000,167
168,150,112.883206,24.811973,1546.000000,167
168,151,112.883206,24.811673,1555.000000,167
168,152,112.883206,24.811373,1551.000000,167
168,153,112.883206,24.811073,1532.000000,167
169,126,112.883506,24.819173,1450.000000,167
169,127,112.883506,24.818873,1456.000000,167
169,128,112.883506,24.818573,1464.000000,167
169,129,112.883506,24.818273,1483.000000,167
169,130,112.883506,24.817973,1517.000000,167
169,131,112.883506,24.817673,1526.000000,167
169,132,112.883506,24.817373,1548.000000,167
169,133,112.883506,24.817073,1560.000000,167
169,134,112.883506,24.816773,1574.000000,167
169,135,112.883506,24.816473,1588.000000,167
169,136,112.883506,24.816173,1594.000000,167
169,137,112.883506,24.815873,1604.000000,167
169,138,112.883506,24.815573,1608.000000,167
169,139,112.883506,24.815273,1622.000000,167
169,140,112.883506,24.814973,1631.000000,167
169,141,112.883506,24.814673,1630.000000,167
169,142,112.883506,24.814373,1625.000000,167
169,143,112.883506,24.814073,1625.000000,167
169,144,112.883506,24.813773,1625.000000,167
169,145,112.883506,24.813473,1600.000000,167
169,146,112.883506,24.813173,1598.000000,167
169,147,112.883506,24.812873,1574.000000,167
169,148,112.883506,24.812573,1564.000000,167
169,149,112.883506,24.812273,1559.000000,167
169,150,112.883506,24.811973,1556.000000,167
169,151,112.883506,24.811673,1548.000000,167
169,152,112.883506,24.811373,1543.000000,167
169,153,112.883506,24.811073,1521.000000,167
170,126,112.883806,24.819173,1445.000000,167
170,127,112.883806,24.818873,1456.000000,167
170,128,112.883806,24.818573,1465.000000,167
170,129,112.883806,24.818273,1484.000000,167
170,130,112.883806,24.817973,1517.000000,167
170,131,112.883806,24.817673,1540.000000,167
170,132,112.883806,24.817373,1556.000000,167
170,133,112.883806,24.817073,1555.000000,167
170,134,112.883806,24.816773,1573.000000,167
170,135,112.883806,24.816473,1598.000000,167
170,136,112.883806,24.816173,1603.000000,167
170,137,112.883806,24.815873,1604.000000,167
170,138,112.883806,24.815573,1608.000000,167
170,139,112.883806,24.815273,1617.000000,167
170,140,112.883806,24.814973,1630.000000,167
170,141,112.883806,24.814673,1632.000000,167
170,142,112.883806,24.814373,1628.000000,167
170,143,112.883806,24.814073,1624.000000,167
170,144,112.883806,24.813773,1610.000000,167
170,145,112.883806,24.813473,1592.000000,167
170,146,112.883806,24.813173,1578.000000,167
170,147,112.883806,24.812873,1572.000000,167
170,148,112.883806,24.812573,1556.000000,167
170,149,112.883806,24.812273,1553.000000,167
170,150,112.883806,24.811973,1547.000000,167
170,151,112.883806,24.811673,1541.000000,167
170,152,112.883806,24.811373,1521.000000,167
170,153,112.883806,24.811073,1515.000000,167
171,126,112.884106,24.819173,1440.000000,167
171,127,112.884106,24.818873,1454.000000,167
171,128,112.884106,24.818573,1465.000000,167
171,129,112.884106,24.818273,1483.000000,167
171,130,112.884106,24.817973,1489.000000,167
171,131,112.884106,24.817673,1535.000000,167
171,132,112.884106,24.817373,1558.000000,167
171,133,112.884106,24.817073,1561.000000,167
171,134,112.884106,24.816773,1577.000000,167
171,135,112.884106,24.816473,1602.000000,167
171,136,112.884106,24.816173,1607.000000,167
171,137,112.884106,24.815873,1606.000000,167
171,138,112.884106,24.815573,1617.000000,167
171,139,112.884106,24.815273,1627.000000,167
171,140,112.884106,24.814973,1639.000000,167
171,141,112.884106,24.814673,1632.000000,167
171,142,112.884106,24.814373,1623.000000,167
171,143,112.884106,24.814073,1623.000000,167
171,144,112.884106,24.813773,1606.000000,167
171,145,112.884106,24.813473,1590.000000,167
171,146,112.884106,24.813173,1578.000000,167
171,147,112.884106,24.812873,1569.000000,167
171,148,112.884106,24.812573,1555.000000,167
171,149,112.884106,24.812273,1548.000000,167
171,150,112.884106,24.811973,1545.000000,167
171,151,112.884106,24.811673,1534.000000,167
171,152,112.884106,24.811373,1524.000000,167
171,153,112.884106,24.811073,1521.000000,167
172,126,112.884406,24.819173,1439.000000,167
172,127,112.884406,24.818873,1454.000000,167
172,128,112.884406,24.818573,1466.000000,167
172,129,112.884406,24.818273,1483.000000,167
172,130,112.884406,24.817973,1492.000000,167
172,131,112.884406,24.817673,1514.000000,167
172,132,112.884406,24.817373,1540.000000,167
172,133,112.884406,24.817073,1551.000000,167
172,134,112.884406,24.816773,1570.000000,167
172,135,112.884406,24.816473,1582.000000,167
172,136,112.884406,24.816173,1602.000000,167
172,137,112.884406,24.815873,1612.000000,167
172,138,112.884406,24.815573,1623.000000,167
172,139,112.884406,24.815273,1631.000000,167
172,140,112.884406,24.814973,1633.000000,167
172,141,112.884406,24.814673,1630.000000,167
172,142,112.884406,24.814373,1630.000000,167
172,143,112.884406,24.814073,1625.000000,167
172,144,112.884406,24.813773,1614.000000,167
172,145,112.884406,24.813473,1597.000000,167
172,146,112.884406,24.813173,1580.000000,167
172,147,112.884406,24.812873,1560.000000,167
172,148,112.884406,24.812573,1554.000000,167
172,149,112.884406,24.812273,1548.000000,167
172,150,112.884406,24.811973,1549.000000,167
172,151,112.884406,24.811673,1539.000000,167
172,152,112.884406,24.811373,1530.000000,167
172,153,112.884406,24.811073,1534.000000,167
173,126,112.884706,24.819173,1445.000000,167
173,127,112.884706,24.818873,1455.000000,167
173,128,112.884706,24.818573,1468.000000,167
173,129,112.884706,24.818273,1483.000000,167
173,130,112.884706,24.817973,1494.000000,167
173,131,112.884706,24.817673,1507.000000,167
173,132,112.884706,24.817373,1514.000000,167
173,133,112.884706,24.817073,1533.000000,167
173,134,112.884706,24.816773,1570.000000,167
173,135,112.884706,24.816473,1585.000000,167
173,136,112.884706,24.816173,1600.000000,167
173,137,112.884706,24.815873,1615.000000,167
173,138,112.884706,24.815573,1625.000000,167
173,139,112.884706,24.815273,1633.000000,167
173,140,112.884706,24.814973,1634.000000,167
173,141,112.884706,24.814673,1630.000000,167
173,142,112.884706,24.814373,1630.000000,167
173,143,112.884706,24.814073,1622.000000,167
173,144,112.884706,24.813773,1611.000000,167
173,145,112.884706,24.813473,1595.000000,167
173,146,112.884706,24.813173,1579.000000,167
173,147,112.884706,24.812873,1562.000000,167
173,148,112.884706,24.812573,1554.000000,167
173,149,112.884706,24.812273,1550.000000,167
