经度,纬度,降水量_avg,相对湿度 (%)_avg,温度_avg,降水量_avg_normalized,相对湿度 (%)_avg_normalized,温度_avg_normalized,加权均值
112.952246,24.688057,1165.2798913043478,52.93282608695653,19.97255434782609,0.6029863819660212,0.0,0.4853650976398182,0.37256765147982185
112.965083,24.688057,1128.8940217391305,50.563804347826114,20.54891304347826,0.7136329080452168,0.27130480244976984,0.5792853031041052,0.5302830155598407
112.97792,24.688057,1094.7635869565215,50.82456521739131,21.139402173913048,0.8174208369141276,0.24144197973460813,0.6755081255811903,0.5885136992107479
112.862387,24.696527,1107.1929347826087,44.498152173913056,21.23913043478261,0.7796241819263566,0.9659546393805843,0.6917592879599702,0.8138115117395432
112.888061,24.696527,1279.4483695652175,44.34445652173913,18.25923913043477,0.2558091492034107,0.9835561530609699,0.2061727848381508,0.4768075418724124
112.939409,24.696527,1223.7771739130435,51.29836956521737,19.058695652173917,0.42510081311562087,0.1871810192446567,0.33644777044679697,0.321596193186119
112.952246,24.696527,1186.6059782608695,49.54423913043481,19.63396739130435,0.5381354531632182,0.3880673189434086,0.4301908515254841,0.45734588638795515
112.965083,24.696527,1128.0842391304348,47.73717391304351,20.54239130434783,0.7160953923448139,0.595015808997432,0.578222556790507,0.6357795023450787
112.97792,24.696527,1094.7635869565215,49.710652173913054,21.139402173913048,0.8174208369141276,0.36900938581422493,0.6755081255811903,0.6298455387805438
112.990757,24.696527,1087.8532608695652,48.37054347826086,21.28206521739131,0.838434587162028,0.5224811412353435,0.6987557011911626,0.6944413626624644
113.003594,24.696527,1084.8125,49.23728260869565,21.28097826086957,0.8476812983407152,0.4232205541862729,0.6985785768055628,0.6657234062172005
113.016431,24.696527,1081.9130434782608,48.93684782608696,21.317934782608702,0.8564983142724931,0.4576269076605173,0.7046008059159559,0.6819985210399648
112.84955,24.704997,1092.9782608695652,44.20086956521739,21.63451086956522,0.8228498710914258,1.0,0.756188283221893,0.8603813596726831
112.862387,24.704997,1104.695652173913,44.361304347826085,21.35027173913044,0.787218219078469,0.9816267084920456,0.7098702563875495,0.8271568767665738
112.875224,24.704997,1179.2201086956522,44.31869565217392,19.829347826086952,0.5605952931843721,0.9865063360470024,0.46202895983704495,0.6692177037343608
