经度,纬度,降水量,时间步长,月份
112.952246,24.688057,1082.0,0,201801
112.965083,24.688057,1052.5,0,201801
112.97792,24.688057,1024.5,0,201801
112.862387,24.696527,1065.25,0,201801
112.888061,24.696527,1131.25,0,201801
112.939409,24.696527,1099.75,0,201801
112.952246,24.696527,1094.5,0,201801
112.965083,24.696527,1053.5,0,201801
112.97792,24.696527,1024.5,0,201801
112.990757,24.696527,1003.0,0,201801
113.003594,24.696527,998.25,0,201801
113.016431,24.696527,998.75,0,201801
112.84955,24.704997,1048.5,0,201801
112.862387,24.704997,1059.75,0,201801
112.875224,24.704997,1102.0,0,201801
112.888061,24.704997,1120.0,0,201801
112.900898,24.704997,1168.0,0,201801
112.913735,24.704997,1134.75,0,201801
112.926572,24.704997,1111.0,0,201801
112.939409,24.704997,1101.0,0,201801
112.952246,24.704997,1089.5,0,201801
112.965083,24.704997,1043.5,0,201801
112.97792,24.704997,1026.25,0,201801
112.990757,24.704997,1009.75,0,201801
113.003594,24.704997,998.25,0,201801
113.016431,24.704997,998.75,0,201801
112.84955,24.713467,1055.5,0,201801
112.862387,24.713467,1073.75,0,201801
112.875224,24.713467,1116.75,0,201801
112.888061,24.713467,1139.75,0,201801
112.900898,24.713467,1152.75,0,201801
112.913735,24.713467,1119.25,0,201801
112.926572,24.713467,1107.5,0,201801
112.939409,24.713467,1102.75,0,201801
112.952246,24.713467,1079.5,0,201801
112.965083,24.713467,1045.25,0,201801
112.97792,24.713467,1033.75,0,201801
112.990757,24.713467,1029.0,0,201801
113.003594,24.713467,1011.75,0,201801
112.84955,24.721937,1076.0,0,201801
112.862387,24.721937,1087.75,0,201801
112.875224,24.721937,1113.0,0,201801
112.888061,24.721937,1137.5,0,201801
112.900898,24.721937,1131.5,0,201801
112.913735,24.721937,1115.5,0,201801
112.926572,24.721937,1121.25,0,201801
112.939409,24.721937,1122.5,0,201801
112.952246,24.721937,1087.5,0,201801
112.965083,24.721937,1065.0,0,201801
112.97792,24.721937,1047.5,0,201801
112.990757,24.721937,1042.75,0,201801
113.003594,24.721937,1025.25,0,201801
112.862387,24.730407,1096.0,0,201801
