0,1,2,时间步长,年份
112.862387,24.798167,99.75,0,201301
112.875224,24.798167,99.5,0,201301
112.888061,24.798167,101.0,0,201301
112.900898,24.798167,104.25,0,201301
112.913735,24.798167,106.0,0,201301
112.926572,24.798167,108.0,0,201301
112.939409,24.798167,109.5,0,201301
112.952246,24.798167,112.0,0,201301
112.965083,24.798167,108.5,0,201301
112.97792,24.798167,105.75,0,201301
112.875224,24.806637,96.25,0,201301
112.888061,24.806637,98.0,0,201301
112.900898,24.806637,101.75,0,201301
112.913735,24.806637,105.5,0,201301
112.926572,24.806637,108.25,0,201301
112.939409,24.806637,109.5,0,201301
112.952246,24.806637,113.0,0,201301
112.965083,24.806637,111.0,0,201301
112.97792,24.806637,107.0,0,201301
112.875224,24.815107,95.75,0,201301
112.888061,24.815107,97.75,0,201301
112.900898,24.815107,103.0,0,201301
112.913735,24.815107,107.75,0,201301
112.926572,24.815107,110.0,0,201301
112.939409,24.815107,111.0,0,201301
112.952246,24.815107,114.75,0,201301
112.965083,24.815107,109.5,0,201301
112.875224,24.823577,97.5,0,201301
112.888061,24.823577,99.25,0,201301
112.900898,24.823577,105.25,0,201301
112.913735,24.823577,109.25,0,201301
112.926572,24.823577,112.25,0,201301
112.939409,24.823577,114.0,0,201301
112.952246,24.823577,114.75,0,201301
112.965083,24.823577,110.0,0,201301
112.888061,24.832047,99.5,0,201301
112.900898,24.832047,106.5,0,201301
112.913735,24.832047,108.75,0,201301
112.888061,24.840517,99.0,0,201301
112.888061,24.848987,99.0,0,201301
112.952246,24.688057,300.75,1,201302
112.965083,24.688057,298.0,1,201302
112.97792,24.688057,296.5,1,201302
112.862387,24.696527,288.5,1,201302
112.888061,24.696527,304.0,1,201302
112.939409,24.696527,303.25,1,201302
112.952246,24.696527,302.5,1,201302
112.965083,24.696527,299.0,1,201302
112.97792,24.696527,296.5,1,201302
112.990757,24.696527,297.0,1,201302
113.003594,24.696527,297.75,1,201302
113.016431,24.696527,298.0,1,201302
112.84955,24.704997,284.75,1,201302
112.862387,24.704997,287.75,1,201302
112.875224,24.704997,295.75,1,201302
112.888061,24.704997,301.75,1,201302
112.900898,24.704997,309.25,1,201302
112.913735,24.704997,308.0,1,201302
112.926572,24.704997,304.5,1,201302
112.939409,24.704997,304.5,1,201302
112.952246,24.704997,302.75,1,201302
112.965083,24.704997,299.75,1,201302
112.97792,24.704997,298.5,1,201302
112.990757,24.704997,297.75,1,201302
113.003594,24.704997,297.75,1,201302
113.016431,24.704997,298.0,1,201302
112.84955,24.713467,287.0,1,201302
112.862387,24.713467,292.5,1,201302
112.875224,24.713467,302.25,1,201302
112.888061,24.713467,305.25,1,201302
112.900898,24.713467,309.0,1,201302
112.913735,24.713467,307.5,1,201302
112.926572,24.713467,305.25,1,201302
112.939409,24.713467,305.0,1,201302
112.952246,24.713467,302.5,1,201302
112.965083,24.713467,299.75,1,201302
112.97792,24.713467,298.5,1,201302
112.990757,24.713467,297.75,1,201302
113.003594,24.713467,297.5,1,201302
112.84955,24.721937,291.25,1,201302
112.862387,24.721937,296.0,1,201302
112.875224,24.721937,304.25,1,201302
112.888061,24.721937,307.0,1,201302
112.900898,24.721937,308.0,1,201302
112.913735,24.721937,306.75,1,201302
112.926572,24.721937,307.25,1,201302
112.939409,24.721937,307.75,1,201302
112.952246,24.721937,303.75,1,201302
112.965083,24.721937,300.75,1,201302
112.97792,24.721937,298.5,1,201302
112.990757,24.721937,299.75,1,201302
113.003594,24.721937,298.0,1,201302
112.862387,24.730407,295.75,1,201302
112.875224,24.730407,302.5,1,201302
112.888061,24.730407,303.0,1,201302
112.900898,24.730407,305.0,1,201302
112.913735,24.730407,303.75,1,201302
112.926572,24.730407,307.75,1,201302
112.939409,24.730407,306.25,1,201302
112.952246,24.730407,304.5,1,201302
112.965083,24.730407,301.5,1,201302
112.97792,24.730407,299.75,1,201302
112.990757,24.730407,299.0,1,201302
113.003594,24.730407,298.5,1,201302
112.84955,24.738877,286.75,1,201302
112.862387,24.738877,291.5,1,201302
112.875224,24.738877,297.25,1,201302
112.888061,24.738877,297.75,1,201302
