longitude,latitude,tmp_avg,ndvi_avg,region_id
112.888061,24.798167,12.7,0.8836,149
112.900898,24.798167,12.025,0.78209996,150
112.913735,24.798167,11.375,0.3141,151
112.926572,24.798167,10.7,0.24149999,152
112.939409,24.798167,10.2,0.2634,153
112.952246,24.798167,9.95,0.2645,154
112.965083,24.798167,10.45,0.3197,155
112.97792,24.798167,11.05,0.0665,156
112.875224,24.806637,13.95,0.7693,157
112.888061,24.806637,13.375,0.7503,158
112.900898,24.806637,12.55,0.38639998,159
112.913735,24.806637,11.675,0.3495,160
112.926572,24.806637,11.025,0.317,161
112.939409,24.806637,10.525,0.31599998,162
112.952246,24.806637,10.1,0.2965,163
112.965083,24.806637,10.325,0.2965,164
112.97792,24.806637,11.025,0.31419998,165
112.875224,24.815107,14.05,0.56549996,166
112.888061,24.815107,13.500000000000002,0.56549996,167
112.900898,24.815107,12.575,0.3326,168
112.913735,24.815107,11.625,0.39659998,169
112.926572,24.815107,10.85,0.3478,170
112.939409,24.815107,10.325,0.36659998,171
112.952246,24.815107,10.075,0.281,172
112.965083,24.815107,10.75,0.31419998,173
112.875224,24.823577,13.75,0.6989,174
112.888061,24.823577,13.45,0.877,175
112.900898,24.823577,12.375,0.0579,176
112.913735,24.823577,11.575,0.6078,177
112.926572,24.823577,10.625,0.0678,178
112.939409,24.823577,10.175,0.2668,179
112.952246,24.823577,10.075,0.2295,180
112.965083,24.823577,10.725,0.086399995,181
112.888061,24.832047,13.475,0.6161,182
112.900898,24.832047,12.225,0.0821,183
112.913735,24.832047,11.8,0.2758,184
112.888061,24.840517,13.6,0.86179996,185
112.888061,24.848987,13.6,0.073199995,186
