region_id,road_score,resident_score,total_score,fri_terrain
169,1.0,1.0,0.2829,0.358641
170,1.0,1.0,0.2829,0.362768
171,1.0,1.0,0.2829,0.368113
172,1.0,1.0,0.2829,0.361240
173,1.0,1.0,0.2829,0.367633
174,3.111111111111111,1.0,0.4321555555555555,0.360755
175,1.0,1.0,0.2829,0.355453
176,1.0,1.0,0.2829,0.371342
177,1.0,1.0,0.2829,0.358190
178,1.0,1.0,0.2829,0.367100
179,1.0,1.0,0.2829,0.364013
180,1.0,1.0,0.2829,0.372853
181,1.0,1.0,0.2829,0.367884
182,1.0,1.0,0.2829,0.369153
183,4.8,1.0,0.55156,0.363787
184,1.0,1.0,0.2829,0.366360
185,4.497777777777777,1.0,0.5301928888888889,0.370808
186,4.96,1.0,0.562872,0.218473
