region_id,geom_center_lon,geom_center_lat,centroid_lon,centroid_lat,center_to_road_m,region_risk_level
1,112.954156,24.688673,112.95508589417956,24.68912114814818,144,0
2,112.965106,24.687923,112.96534786265254,24.68868823988721,245,0
3,112.978756,24.687773,112.97664366233847,24.68871358441566,91,0
4,112.861906,24.697823,112.86192342126,24.69779376771658,1060,2
5,112.888156,24.697973,112.8882196310235,24.698240215041164,834,1
6,112.938256,24.697073,112.93949783673308,24.69784748979597,109,0
7,112.952206,24.696623,112.95227387216082,24.69667232716574,894,1
8,112.965106,24.696623,112.96510599999984,24.69662300000005,1136,2
9,112.978006,24.696623,112.97800600000096,24.69662300000005,720,1
10,112.990756,24.695123,112.99015066882222,24.6962389127626,53,0
11,113.003506,24.695873,113.0037358425206,24.69636717322845,259,0
12,113.015806,24.695573,113.0153606749762,24.695903454140783,67,0
13,112.850656,24.702473,112.8510565494513,24.70339725431717,1384,2
14,112.862356,24.705023,112.86235600000082,24.705023000000065,1802,3
15,112.875106,24.702923,112.87512911926586,24.703461807339508,2317,4
16,112.888006,24.705023,112.88800600000133,24.705023000000065,1067,2
17,112.900906,24.703073,112.90105752056996,24.703342409660213,439,0
18,112.913806,24.702773,112.91389387031772,24.70297808664073,476,0
19,112.926556,24.702923,112.92638601233804,24.703408903763187,438,0
20,112.939306,24.705023,112.93930599999923,24.705023000000065,985,1
21,112.952206,24.705023,112.95220599999948,24.705023000000065,1576,2
22,112.965106,24.705023,112.96510599999984,24.705023000000065,2042,3
23,112.978006,24.705023,112.97800600000096,24.705023000000065,1458,2
24,112.990756,24.705023,112.99075600000172,24.705023000000065,1041,1
25,113.003506,24.705023,113.00350600000104,24.705023000000065,689,1
26,113.014606,24.707873,113.01397188832244,24.706242949238668,8,0
27,112.851406,24.713423,112.85171788118788,24.71331161386145,1299,2
28,112.862356,24.713423,112.86235600000082,24.713423000000123,2508,4
29,112.875106,24.713423,112.875106000002,24.713423000000127,2774,4
30,112.888006,24.713423,112.88800600000133,24.713423000000127,1793,3
31,112.900906,24.713423,112.90090599999988,24.713423000000127,1531,2
32,112.913806,24.713423,112.91380599999906,24.713423000000127,1643,3
33,112.926556,24.713423,112.9265559999981,24.713423000000123,1547,2
34,112.939306,24.713423,112.93930599999923,24.713423000000127,1865,3
35,112.952206,24.713423,112.95220599999948,24.713423000000127,2340,4
36,112.965106,24.713423,112.96510599999984,24.713423000000127,2165,3
37,112.978006,24.713423,112.97800600000096,24.713423000000127,2198,3
38,112.990756,24.713423,112.99075600000172,24.713423000000123,958,1
39,113.005306,24.713423,113.00469754334094,24.713575114164986,102,0
40,112.852156,24.724073,112.85232791192216,24.72340597529529,1228,2
41,112.862356,24.721823,112.86235600000082,24.721822999999905,2376,4
42,112.875106,24.721823,112.875106000002,24.721822999999905,3206,4
43,112.888006,24.721823,112.88800600000133,24.721822999999905,2651,4
44,112.900906,24.721823,112.90090599999988,24.721822999999905,2456,4
45,112.913806,24.721823,112.91380599999906,24.721822999999905,2573,4
46,112.926556,24.721823,112.9265559999981,24.721822999999905,2462,4
47,112.939306,24.721823,112.93930599999923,24.721822999999905,2771,4
48,112.952206,24.721823,112.95220599999948,24.721822999999905,2001,3
49,112.965106,24.721823,112.96510599999984,24.721822999999905,1240,2
50,112.978006,24.721823,112.97800600000096,24.721822999999905,1555,2
51,112.990756,24.721823,112.99075600000172,24.721822999999905,1511,2
52,113.004856,24.721823,113.00460202272752,24.72177527272717,343,0
53,112.860856,24.730373,112.8616060000021,24.73037299999988,2203,3
54,112.875106,24.730373,112.87510600000198,24.73037299999986,2303,4
55,112.888006,24.730373,112.888006000001,24.73037299999986,2106,3
56,112.900906,24.730373,112.9009059999996,24.73037299999986,2147,3
57,112.913806,24.730373,112.91380599999891,24.73037299999986,2093,3
58,112.926556,24.730373,112.92655599999794,24.730372999999865,1981,3
59,112.939306,24.730373,112.93930599999943,24.73037299999986,2171,3
60,112.952206,24.730373,112.9522059999996,24.73037299999986,1558,2
61,112.965106,24.730373,112.96510600000003,24.73037299999986,340,0
62,112.978006,24.730373,112.97800600000122,24.73037299999986,729,1
63,112.990756,24.730373,112.9907560000017,24.730372999999865,1278,2
64,113.004256,24.730373,113.0037022904504,24.73010449171258,324,0
65,112.852006,24.736823,112.85248496551664,24.73759955172409,1217,2
66,112.862356,24.738923,112.86235600000082,24.738922999999986,2239,3
67,112.875106,24.738923,112.875106000002,24.738922999999986,1460,2
68,112.888006,24.738923,112.88800600000133,24.738922999999986,1178,2
69,112.900906,24.738923,112.90090599999988,24.738922999999986,1199,2
70,112.913806,24.738923,112.91380599999906,24.738922999999986,1179,2
71,112.926556,24.738923,112.9265559999981,24.738922999999986,1044,2
72,112.939306,24.738923,112.93930599999923,24.738922999999986,1273,2
73,112.952206,24.738923,112.95220599999948,24.738922999999986,1486,2
74,112.965106,24.738923,112.96510599999984,24.738922999999986,598,1
75,112.978006,24.738923,112.97800600000096,24.738922999999986,66,0
76,112.990756,24.740873,112.9900356037309,24.739578827505788,196,0
77,113.001856,24.737423,113.0009378518519,24.73689744444444,76,0
78,112.852006,24.747323,112.85212632742092,24.747262631650685,1451,2
79,112.862356,24.747323,112.86235600000082,24.74732299999991,1311,2
80,112.875106,24.747323,112.875106000002,24.74732299999991,877,1
81,112.888006,24.747323,112.88800600000133,24.74732299999991,278,0
82,112.900906,24.747323,112.90090599999988,24.74732299999991,271,0
83,112.913806,24.747323,112.91380599999906,24.74732299999991,301,0
84,112.926556,24.747323,112.9265559999981,24.74732299999991,138,0
85,112.939306,24.747323,112.93930599999923,24.74732299999991,444,0
86,112.952206,24.747323,112.95220599999948,24.74732299999991,569,1
87,112.965106,24.747323,112.96510599999984,24.74732299999991,575,1
88,112.979356,24.747323,112.9790122004341,24.747444016582502,624,1
89,112.850356,24.755723,112.85170828716608,24.756112771283327,725,1
90,112.862356,24.755723,112.86235600000082,24.75572299999992,405,0
91,112.875106,24.755723,112.875106000002,24.75572299999992,689,1
92,112.888006,24.755723,112.88800600000133,24.75572299999992,109,0
93,112.900906,24.755723,112.90090599999988,24.75572299999992,614,1
94,112.913806,24.755723,112.91380599999906,24.75572299999992,517,1
95,112.926556,24.755723,112.9265559999981,24.75572299999992,776,1
96,112.939306,24.755723,112.93930599999923,24.75572299999992,366,0
97,112.952206,24.755723,112.95220599999948,24.75572299999992,349,0
98,112.965106,24.755723,112.96510599999984,24.75572299999992,332,0
99,112.979206,24.755723,112.97912638216717,24.75570229936296,296,0
100,112.848406,24.764273,112.84916969811444,24.764360169811336,127,0
101,112.862356,24.764273,112.86235600000126,24.764273000000024,273,0
102,112.875106,24.764273,112.87510600000198,24.764273000000024,22,0
103,112.888006,24.764273,112.888006000001,24.764273000000024,333,0
104,112.900906,24.764273,112.9009059999996,24.764273000000024,896,1
105,112.913806,24.764273,112.91380599999891,24.764273000000024,1453,2
106,112.926556,24.764273,112.92655599999794,24.764273000000024,1705,3
107,112.939306,24.764273,112.93930599999943,24.764273000000024,1314,2
108,112.952206,24.764273,112.9522059999996,24.764273000000024,1283,2
109,112.965106,24.764273,112.96510600000003,24.764273000000024,1217,2
110,112.979056,24.764273,112.978860320115,24.764249841359767,1151,2
111,112.838506,24.771023,112.83970680644998,24.772551225806428,417,0
112,112.849606,24.772823,112.849606,24.77282299999992,861,1
113,112.862356,24.772823,112.86235600000082,24.77282299999992,1159,2
114,112.875106,24.772823,112.875106000002,24.77282299999992,724,1
115,112.888006,24.772823,112.88800600000133,24.77282299999992,336,0
116,112.900906,24.772823,112.90090599999988,24.77282299999992,1528,2
117,112.913806,24.772823,112.91380599999906,24.77282299999992,2400,4
118,112.926556,24.772823,112.9265559999981,24.77282299999992,2637,4
119,112.939306,24.772823,112.93930599999923,24.77282299999992,2263,3
120,112.952206,24.772823,112.95220599999948,24.77282299999992,2226,3
121,112.965106,24.772823,112.96510599999984,24.77282299999992,2041,3
122,112.978756,24.772823,112.97866029864392,24.772802638008965,1592,2
123,112.838056,24.784523,112.83875187488556,24.782539001813237,297,0
124,112.849606,24.781223,112.849606,24.78122299999998,1460,2
125,112.862356,24.781223,112.86235600000082,24.78122299999998,2034,3
126,112.875106,24.781223,112.875106000002,24.78122299999998,1437,2
127,112.888006,24.781223,112.88800600000133,24.78122299999998,1248,2
128,112.900906,24.781223,112.90090599999988,24.78122299999998,1965,3
129,112.913806,24.781223,112.91380599999906,24.78122299999998,3189,4
130,112.926556,24.781223,112.9265559999981,24.78122299999998,3505,4
131,112.939306,24.781223,112.93930599999923,24.78122299999998,3196,4
132,112.952206,24.781223,112.95220599999948,24.78122299999998,3156,4
133,112.965106,24.781223,112.96510599999984,24.78122299999998,1829,3
134,112.978606,24.781223,112.9784087365142,24.781198723221245,814,1
135,112.847356,24.789623,112.84823022360482,24.78983511180129,1085,2
136,112.862356,24.789623,112.86235600000082,24.789623000000034,1557,2
137,112.875106,24.789623,112.875106000002,24.78962300000004,1674,3
138,112.888006,24.789623,112.88800600000133,24.78962300000004,1606,3
139,112.900906,24.789623,112.90090599999988,24.78962300000004,1760,3
140,112.913806,24.789623,112.91380599999906,24.78962300000004,2742,4
141,112.926556,24.789623,112.9265559999981,24.789623000000034,3990,4
142,112.939306,24.789623,112.93930599999923,24.78962300000004,4128,4
143,112.952206,24.789623,112.95220599999948,24.78962300000004,3073,4
144,112.965106,24.789623,112.96510599999984,24.78962300000004,1643,3
145,112.978306,24.789623,112.97807236513266,24.7895832796053,212,0
146,112.847806,24.799523,112.84955065812092,24.79819543589736,878,1
147,112.862356,24.799223,112.86206738393037,24.79866407142852,554,1
148,112.875106,24.798173,112.87510600000198,24.79817299999993,802,1
