0,1,2,时间步长,年份
112.952246,24.688057,7.775,0,201701
112.965083,24.688057,8.2,0,201701
112.97792,24.688057,8.625,0,201701
112.862387,24.696527,8.8,0,201701
112.888061,24.696527,6.475,0,201701
112.939409,24.696527,7.075000000000001,0,201701
112.952246,24.696527,7.525,0,201701
112.965083,24.696527,8.174999999999999,0,201701
112.97792,24.696527,8.625,0,201701
112.990757,24.696527,8.675,0,201701
113.003594,24.696527,8.65,0,201701
113.016431,24.696527,8.625,0,201701
112.84955,24.704997,9.075,0,201701
112.862387,24.704997,8.875,0,201701
112.875224,24.704997,7.725,0,201701
112.888061,24.704997,6.825000000000001,0,201701
112.900898,24.704997,5.4,0,201701
112.913735,24.704997,5.925,0,201701
112.926572,24.704997,6.6,0,201701
112.939409,24.704997,6.950000000000001,0,201701
112.952246,24.704997,7.45,0,201701
112.965083,24.704997,7.975,0,201701
112.97792,24.704997,8.425,0,201701
112.990757,24.704997,8.55,0,201701
113.003594,24.704997,8.65,0,201701
113.016431,24.704997,8.625,0,201701
112.84955,24.713467,8.775,0,201701
112.862387,24.713467,8.15,0,201701
112.875224,24.713467,6.625,0,201701
112.888061,24.713467,6.074999999999999,0,201701
112.900898,24.713467,5.45,0,201701
112.913735,24.713467,5.975,0,201701
112.926572,24.713467,6.5,0,201701
112.939409,24.713467,6.874999999999999,0,201701
112.952246,24.713467,7.375,0,201701
112.965083,24.713467,7.949999999999999,0,201701
112.97792,24.713467,8.25,0,201701
112.990757,24.713467,8.350000000000001,0,201701
113.003594,24.713467,8.475,0,201701
112.84955,24.721937,8.25,0,201701
112.862387,24.721937,7.625,0,201701
112.875224,24.721937,6.275,0,201701
112.888061,24.721937,5.65,0,201701
112.900898,24.721937,5.574999999999999,0,201701
112.913735,24.721937,6.05,0,201701
112.926572,24.721937,6.300000000000001,0,201701
112.939409,24.721937,6.55,0,201701
112.952246,24.721937,7.199999999999999,0,201701
112.965083,24.721937,7.6499999999999995,0,201701
112.97792,24.721937,8.1,0,201701
112.990757,24.721937,8.174999999999999,0,201701
113.003594,24.721937,8.35,0,201701
112.862387,24.730407,7.65,0,201701
112.875224,24.730407,6.475,0,201701
112.888061,24.730407,6.125,0,201701
112.900898,24.730407,5.975,0,201701
112.913735,24.730407,6.425,0,201701
112.926572,24.730407,6.175,0,201701
